example,scenario,sample_type,sample_id,metric,value,better,panel
degree_control,computed FBS control,computed,computed,cost,29.340520728249178,lower,
degree_control,no control,deterministic,no control,cost,34.365433315528584,lower,
degree_control,constant mean control,deterministic,constant mean control,cost,29.534632240892886,lower,
degree_control,random smooth control,random,random_001,cost,32.17510828573674,lower,
degree_control,random smooth control,random,random_002,cost,30.87894208026047,lower,
degree_control,random smooth control,random,random_003,cost,33.34444645431622,lower,
degree_control,random smooth control,random,random_004,cost,32.29850447608839,lower,
degree_control,random smooth control,random,random_005,cost,31.76009076513636,lower,
degree_control,random smooth control,random,random_006,cost,30.9721490023417,lower,
degree_control,random smooth control,random,random_007,cost,30.93780169219046,lower,
degree_control,random smooth control,random,random_008,cost,30.94858091230747,lower,
degree_control,random smooth control,random,random_009,cost,31.34866612956964,lower,
degree_control,random smooth control,random,random_010,cost,30.720269340870733,lower,
degree_control,random smooth control,random,random_011,cost,31.482846343429223,lower,
degree_control,random smooth control,random,random_012,cost,31.78462159499933,lower,
degree_control,random smooth control,random,random_013,cost,31.266480627460805,lower,
degree_control,random smooth control,random,random_014,cost,31.64755918785345,lower,
degree_control,random smooth control,random,random_015,cost,31.934402491750603,lower,
degree_control,random smooth control,random,random_016,cost,32.32217901922505,lower,
degree_control,random smooth control,random,random_017,cost,32.24484564537037,lower,
degree_control,random smooth control,random,random_018,cost,32.634026400708684,lower,
degree_control,random smooth control,random,random_019,cost,31.37000040060793,lower,
degree_control,random smooth control,random,random_020,cost,31.12377521057356,lower,
degree_control,random smooth control,random,random_021,cost,31.681032393952034,lower,
degree_control,random smooth control,random,random_022,cost,31.638638602364246,lower,
degree_control,random smooth control,random,random_023,cost,32.28461318868841,lower,
degree_control,random smooth control,random,random_024,cost,31.64083310084602,lower,
degree_control,random smooth control,random,random_025,cost,33.77388667019214,lower,
degree_control,random smooth control,random,random_026,cost,31.623464505326037,lower,
degree_control,random smooth control,random,random_027,cost,32.26157263506086,lower,
degree_control,random smooth control,random,random_028,cost,34.203084062865294,lower,
degree_control,random smooth control,random,random_029,cost,31.358403242008862,lower,
degree_control,random smooth control,random,random_030,cost,32.882241576633575,lower,
degree_control,random smooth control,random,random_031,cost,31.006006875901324,lower,
degree_control,random smooth control,random,random_032,cost,32.43336837939027,lower,
degree_control,random smooth control,random,random_033,cost,32.46024264130368,lower,
degree_control,random smooth control,random,random_034,cost,31.752890872982153,lower,
degree_control,random smooth control,random,random_035,cost,31.089858957561926,lower,
degree_control,random smooth control,random,random_036,cost,31.702471014610765,lower,
degree_control,random smooth control,random,random_037,cost,30.978470799781924,lower,
degree_control,random smooth control,random,random_038,cost,32.52997136008513,lower,
degree_control,random smooth control,random,random_039,cost,31.12135849941372,lower,
degree_control,random smooth control,random,random_040,cost,31.19445422054824,lower,
degree_control,random smooth control,random,random_041,cost,31.724765938751347,lower,
degree_control,random smooth control,random,random_042,cost,31.39268204302281,lower,
degree_control,random smooth control,random,random_043,cost,31.870376106447527,lower,
degree_control,random smooth control,random,random_044,cost,31.559946000511406,lower,
degree_control,random smooth control,random,random_045,cost,33.58392799795987,lower,
degree_control,random smooth control,random,random_046,cost,31.898310894274623,lower,
degree_control,random smooth control,random,random_047,cost,31.997678959817375,lower,
degree_control,random smooth control,random,random_048,cost,31.201066220291217,lower,
degree_control,random smooth control,random,random_049,cost,31.59956132067128,lower,
degree_control,random smooth control,random,random_050,cost,31.635274116728958,lower,
degree_control,random smooth control,random,random_051,cost,31.259072361578315,lower,
degree_control,random smooth control,random,random_052,cost,31.814841422201116,lower,
degree_control,random smooth control,random,random_053,cost,31.84799678818306,lower,
degree_control,random smooth control,random,random_054,cost,31.158372504762184,lower,
degree_control,random smooth control,random,random_055,cost,31.667356756133668,lower,
degree_control,random smooth control,random,random_056,cost,31.10784665237126,lower,
degree_control,random smooth control,random,random_057,cost,32.46926208925495,lower,
degree_control,random smooth control,random,random_058,cost,30.972885096982008,lower,
degree_control,random smooth control,random,random_059,cost,32.21986122848068,lower,
degree_control,random smooth control,random,random_060,cost,31.939587741518537,lower,
degree_control,random smooth control,random,random_061,cost,31.979013077645696,lower,
degree_control,random smooth control,random,random_062,cost,32.898147282585455,lower,
degree_control,random smooth control,random,random_063,cost,30.930977351650334,lower,
degree_control,random smooth control,random,random_064,cost,30.87936748250375,lower,
degree_control,random smooth control,random,random_065,cost,31.486499957396347,lower,
degree_control,random smooth control,random,random_066,cost,32.4987081955073,lower,
degree_control,random smooth control,random,random_067,cost,32.965736793660696,lower,
degree_control,random smooth control,random,random_068,cost,31.46431051464801,lower,
degree_control,random smooth control,random,random_069,cost,30.724451379007192,lower,
