example,scenario,sample_type,sample_id,metric,value,better,panel
degree_control,computed FBS control,computed,computed,cost,19.013113686392682,lower,
degree_control,no control,deterministic,no control,cost,30.224630709663217,lower,
degree_control,constant mean control,deterministic,constant mean control,cost,20.248944524362397,lower,
degree_control,random smooth control,random,random_001,cost,22.539173010441285,lower,
degree_control,random smooth control,random,random_002,cost,22.79954295797093,lower,
degree_control,random smooth control,random,random_003,cost,22.727353519660557,lower,
degree_control,random smooth control,random,random_004,cost,22.960619266208262,lower,
degree_control,random smooth control,random,random_005,cost,23.617165685137195,lower,
degree_control,random smooth control,random,random_006,cost,21.040258105368356,lower,
degree_control,random smooth control,random,random_007,cost,24.103121847963354,lower,
degree_control,random smooth control,random,random_008,cost,21.70561435140703,lower,
degree_control,random smooth control,random,random_009,cost,21.45278959950434,lower,
degree_control,random smooth control,random,random_010,cost,21.24310072129321,lower,
degree_control,random smooth control,random,random_011,cost,24.433934623040315,lower,
degree_control,random smooth control,random,random_012,cost,21.38217023874127,lower,
degree_control,random smooth control,random,random_013,cost,21.372984521225312,lower,
degree_control,random smooth control,random,random_014,cost,22.423056977939815,lower,
degree_control,random smooth control,random,random_015,cost,23.296611608911718,lower,
degree_control,random smooth control,random,random_016,cost,21.84323006005586,lower,
degree_control,random smooth control,random,random_017,cost,24.183555995583788,lower,
degree_control,random smooth control,random,random_018,cost,22.69168400978119,lower,
degree_control,random smooth control,random,random_019,cost,22.017973462052662,lower,
degree_control,random smooth control,random,random_020,cost,22.03026352655282,lower,
degree_control,random smooth control,random,random_021,cost,24.19357081651625,lower,
degree_control,random smooth control,random,random_022,cost,21.788681905739512,lower,
degree_control,random smooth control,random,random_023,cost,22.09491112780457,lower,
degree_control,random smooth control,random,random_024,cost,23.494649403653476,lower,
degree_control,random smooth control,random,random_025,cost,24.597878362698662,lower,
degree_control,random smooth control,random,random_026,cost,22.965877320518892,lower,
degree_control,random smooth control,random,random_027,cost,21.694017183845588,lower,
degree_control,random smooth control,random,random_028,cost,23.63449523255927,lower,
degree_control,random smooth control,random,random_029,cost,21.52008244775629,lower,
degree_control,random smooth control,random,random_030,cost,22.37177674399144,lower,
degree_control,random smooth control,random,random_031,cost,21.92282297298367,lower,
degree_control,random smooth control,random,random_032,cost,23.883807740106224,lower,
degree_control,random smooth control,random,random_033,cost,22.34858597962239,lower,
degree_control,random smooth control,random,random_034,cost,24.12688341603665,lower,
degree_control,random smooth control,random,random_035,cost,24.694701889134155,lower,
degree_control,random smooth control,random,random_036,cost,23.740273120878037,lower,
degree_control,random smooth control,random,random_037,cost,22.059205947701567,lower,
degree_control,random smooth control,random,random_038,cost,21.676946954897662,lower,
degree_control,random smooth control,random,random_039,cost,22.89153151796789,lower,
degree_control,random smooth control,random,random_040,cost,22.387804970273784,lower,
degree_control,random smooth control,random,random_041,cost,21.958522282799574,lower,
degree_control,random smooth control,random,random_042,cost,23.36680472074715,lower,
degree_control,random smooth control,random,random_043,cost,22.775503701333353,lower,
degree_control,random smooth control,random,random_044,cost,22.500831835567944,lower,
degree_control,random smooth control,random,random_045,cost,23.378687133424407,lower,
degree_control,random smooth control,random,random_046,cost,22.702146895063752,lower,
degree_control,random smooth control,random,random_047,cost,22.69464791476918,lower,
degree_control,random smooth control,random,random_048,cost,22.493066401828024,lower,
degree_control,random smooth control,random,random_049,cost,23.396237655657952,lower,
degree_control,random smooth control,random,random_050,cost,21.044427677615744,lower,
degree_control,random smooth control,random,random_051,cost,22.830231258536408,lower,
degree_control,random smooth control,random,random_052,cost,20.645464136956107,lower,
degree_control,random smooth control,random,random_053,cost,20.781916343428993,lower,
degree_control,random smooth control,random,random_054,cost,22.03625375327007,lower,
degree_control,random smooth control,random,random_055,cost,23.138636746648267,lower,
degree_control,random smooth control,random,random_056,cost,24.676124429320737,lower,
degree_control,random smooth control,random,random_057,cost,21.641463851401806,lower,
degree_control,random smooth control,random,random_058,cost,21.39535260646085,lower,
degree_control,random smooth control,random,random_059,cost,22.70921872327392,lower,
degree_control,random smooth control,random,random_060,cost,20.691943562564262,lower,
degree_control,random smooth control,random,random_061,cost,24.278595887514236,lower,
degree_control,random smooth control,random,random_062,cost,23.055455278589726,lower,
degree_control,random smooth control,random,random_063,cost,21.327359491117484,lower,
degree_control,random smooth control,random,random_064,cost,21.852157208952136,lower,
degree_control,random smooth control,random,random_065,cost,22.660296865624066,lower,
degree_control,random smooth control,random,random_066,cost,22.853547854304836,lower,
degree_control,random smooth control,random,random_067,cost,23.06301476760108,lower,
degree_control,random smooth control,random,random_068,cost,23.204505981118224,lower,
degree_control,random smooth control,random,random_069,cost,22.29458201223502,lower,
degree_control,random smooth control,random,random_070,cost,22.35692448746845,lower,
degree_control,random smooth control,random,random_071,cost,22.72033353426826,lower,
degree_control,random smooth control,random,random_072,cost,22.925425974893482,lower,
degree_control,random smooth control,random,random_073,cost,22.929330447178213,lower,
degree_control,random smooth control,random,random_074,cost,21.81859894895811,lower,
degree_control,random smooth control,random,random_075,cost,21.3783411148114,lower,
node_control,computed FBS control,computed,computed,cost,17.13061207139089,lower,
node_control,no control,deterministic,no control,cost,63.05397615867315,lower,
node_control,constant mean control,deterministic,constant mean control,cost,21.744210836883873,lower,
node_control,random smooth control,random,random_001,cost,35.15021326180913,lower,
node_control,random smooth control,random,random_002,cost,29.692202619229764,lower,
node_control,random smooth control,random,random_003,cost,29.664614764145686,lower,
node_control,random smooth control,random,random_004,cost,30.051809690624896,lower,
node_control,random smooth control,random,random_005,cost,37.76524807172161,lower,
node_control,random smooth control,random,random_006,cost,26.340279561393583,lower,
node_control,random smooth control,random,random_007,cost,32.19995142274694,lower,
node_control,random smooth control,random,random_008,cost,30.14206970264061,lower,
node_control,random smooth control,random,random_009,cost,33.58594937431398,lower,
node_control,random smooth control,random,random_010,cost,27.159561803840894,lower,
node_control,random smooth control,random,random_011,cost,31.930419242658488,lower,
node_control,random smooth control,random,random_012,cost,27.486684792270708,lower,
node_control,random smooth control,random,random_013,cost,28.160258813780736,lower,
node_control,random smooth control,random,random_014,cost,28.47285365952714,lower,
node_control,random smooth control,random,random_015,cost,25.832782495078472,lower,
node_control,random smooth control,random,random_016,cost,26.596212752475957,lower,
node_control,random smooth control,random,random_017,cost,27.31200299510071,lower,
node_control,random smooth control,random,random_018,cost,31.418431602372085,lower,
node_control,random smooth control,random,random_019,cost,30.73826125059948,lower,
node_control,random smooth control,random,random_020,cost,28.89677297754087,lower,
node_control,random smooth control,random,random_021,cost,32.84540252706167,lower,
node_control,random smooth control,random,random_022,cost,33.68618792718326,lower,
node_control,random smooth control,random,random_023,cost,27.067324689173105,lower,
node_control,random smooth control,random,random_024,cost,27.887495083624813,lower,
node_control,random smooth control,random,random_025,cost,29.045674270175176,lower,
node_control,random smooth control,random,random_026,cost,28.862695939276307,lower,
node_control,random smooth control,random,random_027,cost,36.74579203195257,lower,
node_control,random smooth control,random,random_028,cost,33.601777848328425,lower,
node_control,random smooth control,random,random_029,cost,34.904259360279966,lower,
node_control,random smooth control,random,random_030,cost,29.382240222904933,lower,
node_control,random smooth control,random,random_031,cost,31.037205882479427,lower,
node_control,random smooth control,random,random_032,cost,34.835419206381815,lower,
node_control,random smooth control,random,random_033,cost,31.31657952546356,lower,
node_control,random smooth control,random,random_034,cost,30.267528575250886,lower,
node_control,random smooth control,random,random_035,cost,24.984029999705974,lower,
node_control,random smooth control,random,random_036,cost,28.270139686721304,lower,
node_control,random smooth control,random,random_037,cost,31.43770312411312,lower,
node_control,random smooth control,random,random_038,cost,34.397896294778846,lower,
node_control,random smooth control,random,random_039,cost,27.699055745175333,lower,
node_control,random smooth control,random,random_040,cost,27.97569907043261,lower,
