example,iteration,max_control_change,tolerance,below_tolerance,run_converged
degree_control,1,0.42,0.0001,False,True
degree_control,2,0.2730000000000001,0.0001,False,True
degree_control,3,0.18370077235817672,0.0001,False,True
degree_control,4,0.1238267650796464,0.0001,False,True
degree_control,5,0.080415808994165,0.0001,False,True
degree_control,6,0.05095506333129696,0.0001,False,True
degree_control,7,0.031865533032627735,0.0001,False,True
degree_control,8,0.019795893188207736,0.0001,False,True
degree_control,9,0.012544869701529349,0.0001,False,True
degree_control,10,0.007990697344875564,0.0001,False,True
degree_control,11,0.0050801332929308884,0.0001,False,True
degree_control,12,0.0032655883183911882,0.0001,False,True
degree_control,13,0.002060822872028023,0.0001,False,True
degree_control,14,0.0013687971155489365,0.0001,False,True
degree_control,15,0.000806759109811539,0.0001,False,True
degree_control,16,0.0005904708331656572,0.0001,False,True
degree_control,17,0.0003449832519673013,0.0001,False,True
degree_control,18,0.00018598895363530765,0.0001,False,True
degree_control,19,0.0001717229100708373,0.0001,False,True
degree_control,20,0.000122819355624193,0.0001,False,True
degree_control,21,5.463484580059408e-05,0.0001,True,True
degree_game,1,0.42,0.0001,False,True
degree_game,2,0.2730000000000001,0.0001,False,True
degree_game,3,0.17745,0.0001,False,True
degree_game,4,0.11534250000000001,0.0001,False,True
degree_game,5,0.07412488870167899,0.0001,False,True
degree_game,6,0.0413107535330981,0.0001,False,True
degree_game,7,0.023712865801382765,0.0001,False,True
degree_game,8,0.013969381601685926,0.0001,False,True
degree_game,9,0.008417060776754859,0.0001,False,True
degree_game,10,0.0051085667551091785,0.0001,False,True
degree_game,11,0.0032231096284736083,0.0001,False,True
degree_game,12,0.001973798006107419,0.0001,False,True
degree_game,13,0.0012892445394863117,0.0001,False,True
degree_game,14,0.0007878926562490118,0.0001,False,True
degree_game,15,0.000516061871249196,0.0001,False,True
degree_game,16,0.0003569714138882407,0.0001,False,True
degree_game,17,0.00022649230929427944,0.0001,False,True
degree_game,18,0.00011036569069600155,0.0001,False,True
degree_game,19,0.0001247283887224615,0.0001,False,True
degree_game,20,5.373468151192995e-05,0.0001,True,True
node_control,1,0.42,0.0001,False,True
node_control,2,0.2730000000000001,0.0001,False,True
node_control,3,0.1546473085888539,0.0001,False,True
node_control,4,0.12332344199390122,0.0001,False,True
node_control,5,0.07789572231725339,0.0001,False,True
node_control,6,0.0528967344849971,0.0001,False,True
node_control,7,0.028760472532577186,0.0001,False,True
node_control,8,0.01894406371589863,0.0001,False,True
node_control,9,0.01056266187252941,0.0001,False,True
node_control,10,0.0067321191909262,0.0001,False,True
node_control,11,0.003957885133888395,0.0001,False,True
node_control,12,0.002537631514403671,0.0001,False,True
node_control,13,0.0014885174950172164,0.0001,False,True
node_control,14,0.0009608513287884257,0.0001,False,True
node_control,15,0.0005988304755064622,0.0001,False,True
node_control,16,0.0003526420795283425,0.0001,False,True
node_control,17,0.00020543860851240936,0.0001,False,True
node_control,18,0.00017862583339489646,0.0001,False,True
node_control,19,8.206359158124954e-05,0.0001,True,True
node_game,1,0.42,0.0001,False,True
node_game,2,0.2730000000000001,0.0001,False,True
node_game,3,0.17745,0.0001,False,True
node_game,4,0.11534250000000001,0.0001,False,True
node_game,5,0.07497262500000001,0.0001,False,True
node_game,6,0.048732206249999965,0.0001,False,True
node_game,7,0.03167593406249991,0.0001,False,True
node_game,8,0.020589357140625042,0.0001,False,True
node_game,9,0.013383082141406266,0.0001,False,True
node_game,10,0.008699003391914095,0.0001,False,True
node_game,11,0.005654352204744084,0.0001,False,True
node_game,12,0.0036753289330837546,0.0001,False,True
node_game,13,0.0023889638065044405,0.0001,False,True
node_game,14,0.0015528264742279418,0.0001,False,True
node_game,15,0.001009337208248029,0.0001,False,True
node_game,16,0.0006560691853612077,0.0001,False,True
node_game,17,0.0004264449704847184,0.0001,False,True
node_game,18,0.0002771892308151003,0.0001,False,True
node_game,19,0.0001801730000299262,0.0001,False,True
node_game,20,0.00011711245001944093,0.0001,False,True
node_game,21,7.61230925125922e-05,0.0001,True,True
