example,scenario,sample_type,sample_id,metric,value,better,panel
degree_control,computed FBS control,computed,computed,cost,24.194782460773343,lower,
degree_control,no control,deterministic,no control,cost,31.641258098556214,lower,
degree_control,constant mean control,deterministic,constant mean control,cost,24.769855257731987,lower,
degree_control,random smooth control,random,random_001,cost,26.850501313103525,lower,
degree_control,random smooth control,random,random_002,cost,28.215850869480487,lower,
degree_control,random smooth control,random,random_003,cost,26.67723297889311,lower,
degree_control,random smooth control,random,random_004,cost,27.123985896251114,lower,
degree_control,random smooth control,random,random_005,cost,27.74142326841927,lower,
degree_control,random smooth control,random,random_006,cost,26.562431951169774,lower,
degree_control,random smooth control,random,random_007,cost,26.141501988697204,lower,
degree_control,random smooth control,random,random_008,cost,27.04448148760197,lower,
degree_control,random smooth control,random,random_009,cost,26.98720030301547,lower,
degree_control,random smooth control,random,random_010,cost,26.544622244486252,lower,
degree_control,random smooth control,random,random_011,cost,27.724465414841077,lower,
degree_control,random smooth control,random,random_012,cost,27.48395470338206,lower,
degree_control,random smooth control,random,random_013,cost,27.133219007237386,lower,
degree_control,random smooth control,random,random_014,cost,26.544923406363502,lower,
degree_control,random smooth control,random,random_015,cost,27.756794002458268,lower,
degree_control,random smooth control,random,random_016,cost,27.450351035496396,lower,
degree_control,random smooth control,random,random_017,cost,26.04257677470955,lower,
degree_control,random smooth control,random,random_018,cost,26.889247492088142,lower,
degree_control,random smooth control,random,random_019,cost,27.028310937798196,lower,
degree_control,random smooth control,random,random_020,cost,25.725407847341604,lower,
degree_control,random smooth control,random,random_021,cost,28.279372408953357,lower,
degree_control,random smooth control,random,random_022,cost,26.77106469411535,lower,
degree_control,random smooth control,random,random_023,cost,26.402633356838017,lower,
degree_control,random smooth control,random,random_024,cost,26.57833098166512,lower,
degree_control,random smooth control,random,random_025,cost,26.418653428531073,lower,
degree_control,random smooth control,random,random_026,cost,26.223470072862487,lower,
degree_control,random smooth control,random,random_027,cost,27.411810782965865,lower,
degree_control,random smooth control,random,random_028,cost,26.28776092174004,lower,
degree_control,random smooth control,random,random_029,cost,27.105350702648323,lower,
degree_control,random smooth control,random,random_030,cost,27.42736385839881,lower,
degree_control,random smooth control,random,random_031,cost,25.9875978437932,lower,
degree_control,random smooth control,random,random_032,cost,26.59149887086196,lower,
degree_control,random smooth control,random,random_033,cost,26.859801774975193,lower,
