network_model,nodes,edges,attachment_m,repeat,seed,time_grid_steps,max_fbs_iterations,tolerance,model_level,comparison_type,prep_seconds,fbs_seconds,total_seconds,horizon,beta,delta,state_weight,control_weight,control_max,damping,mean_degree,solver_type,state_dimension,degree_classes,matrix_nonzeros,fbs_iterations,final_delta,converged,cost,mean_initial_state,mean_final_state,mean_control,max_control
Barabasi-Albert scale-free,100,294,3,1,20261717,80,80,0.0001,degree,paired_degree_node_epidemic,0.0,0.21845483300000001,0.21845483300000001,8.0,1.2,0.35,1.0,3.0,1.0,0.35,5.88,paired_fixed_grid_rk4,16.0,16.0,,20.0,8.625526961802965e-05,1.0,3.1990221212396786,0.0396,0.5739785524741587,0.25523498391729876,0.860125317508623
Barabasi-Albert scale-free,100,294,3,1,20261717,80,80,0.0001,node,paired_degree_node_epidemic,0.0,0.4598257499999998,0.4598257499999998,8.0,1.2,0.35,1.0,3.0,1.0,0.35,5.88,paired_dense_fixed_grid_rk4,100.0,,588.0,20.0,8.72607176748974e-05,1.0,3.179542950746888,0.039599999999999996,0.574673605799706,0.16635945399612506,0.8624341938781548
Barabasi-Albert scale-free,100,294,3,2,20262717,80,80,0.0001,degree,paired_degree_node_epidemic,0.0,0.23622970799999976,0.23622970799999976,8.0,1.2,0.35,1.0,3.0,1.0,0.35,5.88,paired_fixed_grid_rk4,14.0,14.0,,20.0,6.746130340185008e-05,1.0,3.2421901434786635,0.0447578947368421,0.5750077296084289,0.2404488526391553,0.6805104293345644
Barabasi-Albert scale-free,100,294,3,2,20262717,80,80,0.0001,node,paired_degree_node_epidemic,0.0,0.42255091600000005,0.42255091600000005,8.0,1.2,0.35,1.0,3.0,1.0,0.35,5.88,paired_dense_fixed_grid_rk4,100.0,,588.0,20.0,7.231555189768368e-05,1.0,3.220829393422533,0.044757894736842115,0.575440024783167,0.16907842172392082,0.6625662894345931
Barabasi-Albert scale-free,250,744,3,1,20261867,80,80,0.0001,degree,paired_degree_node_epidemic,0.0,0.26213108399999996,0.26213108399999996,8.0,1.2,0.35,1.0,3.0,1.0,0.35,5.952,paired_fixed_grid_rk4,20.0,20.0,,22.0,7.606808073890026e-05,1.0,3.169647575504361,0.029156923076923077,0.5710445808657986,0.27422697924029843,0.9999234237938415
Barabasi-Albert scale-free,250,744,3,1,20261867,80,80,0.0001,node,paired_degree_node_epidemic,0.0,0.48378591700000007,0.48378591700000007,8.0,1.2,0.35,1.0,3.0,1.0,0.35,5.952,paired_dense_fixed_grid_rk4,250.0,,1488.0,22.0,7.160448737764114e-05,1.0,3.1427879541512604,0.029156923076923073,0.5728299123992767,0.15624924091804482,0.9999234237938415
Barabasi-Albert scale-free,250,744,3,2,20262867,80,80,0.0001,degree,paired_degree_node_epidemic,0.0,0.2612917499999998,0.2612917499999998,8.0,1.2,0.35,1.0,3.0,1.0,0.35,5.952,paired_fixed_grid_rk4,22.0,22.0,,22.0,7.76268510178646e-05,1.0,3.1658942237628223,0.028984150943396233,0.5714134422103091,0.2753474599740747,0.9999234237938415
Barabasi-Albert scale-free,250,744,3,2,20262867,80,80,0.0001,node,paired_degree_node_epidemic,0.0,0.49831204100000015,0.49831204100000015,8.0,1.2,0.35,1.0,3.0,1.0,0.35,5.952,paired_dense_fixed_grid_rk4,250.0,,1488.0,22.0,7.870222885719702e-05,1.0,3.1417341332106257,0.028984150943396226,0.57343457864182,0.15651351658008195,0.9999234237938415
Barabasi-Albert scale-free,500,1494,3,1,20262117,80,80,0.0001,degree,paired_degree_node_epidemic,0.0,0.2686586250000005,0.2686586250000005,8.0,1.2,0.35,1.0,3.0,1.0,0.35,5.976,paired_fixed_grid_rk4,29.0,29.0,,22.0,9.124320142017694e-05,1.0,3.218355087613281,0.02703058823529412,0.5699226951009744,0.29070278338282624,0.9999234237938415
Barabasi-Albert scale-free,500,1494,3,1,20262117,80,80,0.0001,node,paired_degree_node_epidemic,0.0,0.6435507500000002,0.6435507500000002,8.0,1.2,0.35,1.0,3.0,1.0,0.35,5.976,paired_dense_fixed_grid_rk4,500.0,,2988.0,22.0,9.151067440249516e-05,1.0,3.1879345444622538,0.02703058823529412,0.5715394647522892,0.15187543896345887,0.9999234237938415
Barabasi-Albert scale-free,500,1494,3,2,20263117,80,80,0.0001,degree,paired_degree_node_epidemic,0.0,0.26751554099999986,0.26751554099999986,8.0,1.2,0.35,1.0,3.0,1.0,0.35,5.976,paired_fixed_grid_rk4,29.0,29.0,,22.0,7.170358745278715e-05,1.0,3.22104598566845,0.029193846153846154,0.5692188024755052,0.2981987369442486,0.9999234237938415
Barabasi-Albert scale-free,500,1494,3,2,20263117,80,80,0.0001,node,paired_degree_node_epidemic,0.0,0.64045475,0.64045475,8.0,1.2,0.35,1.0,3.0,1.0,0.35,5.976,paired_dense_fixed_grid_rk4,500.0,,2988.0,22.0,7.560538150175322e-05,1.0,3.204263939006479,0.029193846153846154,0.572544332775503,0.15351704246292036,0.9999234237938415
Barabasi-Albert scale-free,1000,2994,3,1,20262617,80,80,0.0001,degree,paired_degree_node_epidemic,0.0,0.28430212499999996,0.28430212499999996,8.0,1.2,0.35,1.0,3.0,1.0,0.35,5.988,paired_fixed_grid_rk4,32.0,32.0,,23.0,7.43905581412907e-05,1.0,3.1673367642889203,0.026141538461538466,0.5703224628297574,0.31230907498836374,0.999950225465997
Barabasi-Albert scale-free,1000,2994,3,1,20262617,80,80,0.0001,node,paired_degree_node_epidemic,0.0,1.1538115409999996,1.1538115409999996,8.0,1.2,0.35,1.0,3.0,1.0,0.35,5.988,paired_dense_fixed_grid_rk4,1000.0,,5988.0,23.0,7.566226522448538e-05,1.0,3.140403852051736,0.026141538461538466,0.5712736346299482,0.15271439627727532,0.999950225465997
Barabasi-Albert scale-free,1000,2994,3,2,20263617,80,80,0.0001,degree,paired_degree_node_epidemic,0.0,0.28136724999999974,0.28136724999999974,8.0,1.2,0.35,1.0,3.0,1.0,0.35,5.988,paired_fixed_grid_rk4,35.0,35.0,,23.0,7.24808909233765e-05,1.0,3.1662109897527206,0.02656219178082192,0.5712451389187729,0.3227014977518272,0.999950225465997
Barabasi-Albert scale-free,1000,2994,3,2,20263617,80,80,0.0001,node,paired_degree_node_epidemic,0.0,1.313183167000001,1.313183167000001,8.0,1.2,0.35,1.0,3.0,1.0,0.35,5.988,paired_dense_fixed_grid_rk4,1000.0,,5988.0,23.0,7.460435873074545e-05,1.0,3.1349738323625047,0.02656219178082192,0.5712433515097659,0.1536516842272256,0.999950225465997
Barabasi-Albert scale-free,2000,5994,3,1,20263617,80,80,0.0001,degree,paired_degree_node_epidemic,0.0,0.2850752500000002,0.2850752500000002,8.0,1.2,0.35,1.0,3.0,1.0,0.35,5.994,paired_fixed_grid_rk4,43.0,43.0,,23.0,9.12618881563354e-05,1.0,3.1488716497149873,0.024995000000000003,0.5705577550823907,0.3478450560094066,0.999950225465997
Barabasi-Albert scale-free,2000,5994,3,1,20263617,80,80,0.0001,node,paired_degree_node_epidemic,0.0,5.543773250000001,5.543773250000001,8.0,1.2,0.35,1.0,3.0,1.0,0.35,5.994,paired_dense_fixed_grid_rk4,2000.0,,11988.0,23.0,8.763370737674414e-05,1.0,3.1183862853172797,0.024995,0.5704672952997626,0.15222280957538434,0.999950225465997
Barabasi-Albert scale-free,2000,5994,3,2,20264617,80,80,0.0001,degree,paired_degree_node_epidemic,0.0,0.28757416699999894,0.28757416699999894,8.0,1.2,0.35,1.0,3.0,1.0,0.35,5.994,paired_fixed_grid_rk4,43.0,43.0,,23.0,9.78808835541134e-05,1.0,3.1609987712261587,0.023775748031496065,0.569964772747276,0.33404073258058903,0.999950225465997
Barabasi-Albert scale-free,2000,5994,3,2,20264617,80,80,0.0001,node,paired_degree_node_epidemic,0.0,5.798587749999999,5.798587749999999,8.0,1.2,0.35,1.0,3.0,1.0,0.35,5.994,paired_dense_fixed_grid_rk4,2000.0,,11988.0,24.0,6.776927511831232e-05,1.0,3.131697789447924,0.023775748031496065,0.5709734280209624,0.15074594919030235,0.999967646552898
