model_level,solver_type,nodes,fbs_seconds_median,fbs_seconds_min,fbs_seconds_max,total_seconds_median,fbs_iterations_median,state_dimension_median,degree_classes_median,matrix_nonzeros_median,mean_degree_median,max_degree_median,max_degree_min,max_degree_max,converged_runs,repeats,all_runs_converged
degree,paired_fixed_grid_rk4,100,0.12213920899999997,0.12213920899999997,0.12213920899999997,0.12213920899999997,13.0,16.0,16.0,,5.88,24.0,24.0,24.0,1.0,1,True
degree,paired_fixed_grid_rk4,1000,0.135204125,0.135204125,0.135204125,0.135204125,14.0,32.0,32.0,,5.988,78.0,78.0,78.0,1.0,1,True
degree,paired_fixed_grid_rk4,10000,0.15138524999999992,0.15138524999999992,0.15138524999999992,0.15138524999999992,14.0,74.0,74.0,,5.9988,173.0,173.0,173.0,1.0,1,True
degree,paired_fixed_grid_rk4,100000,0.305904167,0.305904167,0.305904167,0.305904167,14.0,152.0,152.0,,5.99988,511.0,511.0,511.0,1.0,1,True
degree,paired_fixed_grid_rk4,1000000,0.5628471669999975,0.5628471669999975,0.5628471669999975,0.5628471669999975,14.0,305.0,305.0,,5.999988,1513.0,1513.0,1513.0,1.0,1,True
node,paired_sparse_fixed_grid_rk4,100,0.15238870799999993,0.15238870799999993,0.15238870799999993,0.15238870799999993,13.0,100.0,,588.0,5.88,24.0,24.0,24.0,1.0,1,True
node,paired_sparse_fixed_grid_rk4,1000,0.25884629199999987,0.25884629199999987,0.25884629199999987,0.25884629199999987,14.0,1000.0,,5988.0,5.988,78.0,78.0,78.0,1.0,1,True
node,paired_sparse_fixed_grid_rk4,10000,1.170901667,1.170901667,1.170901667,1.170901667,14.0,10000.0,,59988.0,5.9988,173.0,173.0,173.0,1.0,1,True
node,paired_sparse_fixed_grid_rk4,100000,11.5773175,11.5773175,11.5773175,11.5773175,14.0,100000.0,,599988.0,5.99988,511.0,511.0,511.0,1.0,1,True
node,paired_sparse_fixed_grid_rk4,1000000,133.780745333,133.780745333,133.780745333,133.780745333,14.0,1000000.0,,5999988.0,5.999988,1513.0,1513.0,1513.0,1.0,1,True
