network_model,nodes,edges,attachment_m,repeat,seed,time_grid_steps,max_fbs_iterations,tolerance,model_level,solver_type,state_dimension,degree_classes,matrix_nonzeros,prep_seconds,fbs_seconds,total_seconds,fbs_iterations,final_delta,converged,cost,horizon,beta,delta,state_weight,control_weight,control_max,damping,mean_initial_state,mean_final_state,mean_control,max_control
Barabasi-Albert scale-free,100,294,3,1,20261717,35,60,0.0001,degree,adaptive_solve_ivp,16.0,16.0,,0.000422208000000035,1.265021166,1.265443374,20.0,8.676878940594435e-05,1.0,34.824183444527186,,,,,,,,,,,
Barabasi-Albert scale-free,100,294,3,2,20262717,35,60,0.0001,degree,adaptive_solve_ivp,14.0,14.0,,4.81250000001765e-05,1.183752416,1.183800541,20.0,6.567924159250893e-05,1.0,34.927336561501924,,,,,,,,,,,
Barabasi-Albert scale-free,100,294,3,3,20263717,35,60,0.0001,degree,adaptive_solve_ivp,17.0,17.0,,5.00410000001672e-05,1.4268256659999996,1.4268757069999998,21.0,7.61230925125922e-05,1.0,34.72447753679952,,,,,,,,,,,
Barabasi-Albert scale-free,200,594,3,1,20261817,35,60,0.0001,degree,adaptive_solve_ivp,19.0,19.0,,5.0916000000178485e-05,1.4957802500000001,1.4958311660000003,21.0,7.61230925125922e-05,1.0,34.79971273617635,,,,,,,,,,,
Barabasi-Albert scale-free,200,594,3,2,20262817,35,60,0.0001,degree,adaptive_solve_ivp,20.0,20.0,,6.341599999970526e-05,1.5877413329999994,1.5878047489999991,21.0,7.61230925125922e-05,1.0,34.7733969738873,,,,,,,,,,,
Barabasi-Albert scale-free,200,594,3,3,20263817,35,60,0.0001,degree,adaptive_solve_ivp,19.0,19.0,,5.8542000001438055e-05,1.6383439170000003,1.6384024590000017,21.0,7.61230925125922e-05,1.0,34.78991272642312,,,,,,,,,,,
Barabasi-Albert scale-free,300,894,3,1,20261917,35,60,0.0001,degree,adaptive_solve_ivp,22.0,22.0,,6.129199999982404e-05,2.008212209,2.0082735009999997,21.0,7.61230925125922e-05,1.0,34.63907565891953,,,,,,,,,,,
Barabasi-Albert scale-free,300,894,3,2,20262917,35,60,0.0001,degree,adaptive_solve_ivp,23.0,23.0,,6.141600000120206e-05,2.2836609170000006,2.283722333000002,21.0,7.61230925125922e-05,1.0,34.721948855376624,,,,,,,,,,,
Barabasi-Albert scale-free,300,894,3,3,20263917,35,60,0.0001,degree,adaptive_solve_ivp,25.0,25.0,,6.31670000004192e-05,1.7623844999999996,1.762447667,21.0,7.61230925125922e-05,1.0,34.721244478261205,,,,,,,,,,,
Barabasi-Albert scale-free,400,1194,3,1,20262017,35,60,0.0001,degree,adaptive_solve_ivp,26.0,26.0,,6.070899999954804e-05,2.169244416999998,2.1693051259999976,21.0,8.35546226274353e-05,1.0,34.70308208528823,,,,,,,,,,,
Barabasi-Albert scale-free,400,1194,3,2,20263017,35,60,0.0001,degree,adaptive_solve_ivp,25.0,25.0,,5.995900000144161e-05,1.867931917,1.8679918760000014,21.0,7.61230925125922e-05,1.0,34.770212094055,,,,,,,,,,,
Barabasi-Albert scale-free,400,1194,3,3,20264017,35,60,0.0001,degree,adaptive_solve_ivp,27.0,27.0,,6.970800000161148e-05,1.987338042000001,1.9874077500000027,21.0,7.61230925125922e-05,1.0,34.64025151445361,,,,,,,,,,,
Barabasi-Albert scale-free,500,1494,3,1,20262117,35,60,0.0001,degree,adaptive_solve_ivp,29.0,29.0,,6.641599999923642e-05,2.3773402499999996,2.377406665999999,21.0,7.61230925125922e-05,1.0,34.6873469363431,,,,,,,,,,,
Barabasi-Albert scale-free,500,1494,3,2,20263117,35,60,0.0001,degree,adaptive_solve_ivp,29.0,29.0,,7.808399999831295e-05,1.9895523750000024,1.9896304590000007,21.0,7.61230925125922e-05,1.0,34.633189360857145,,,,,,,,,,,
