model_level,solver_type,nodes,fbs_seconds_median,fbs_seconds_min,fbs_seconds_max,total_seconds_median,fbs_iterations_median,state_dimension_median,degree_classes_median,matrix_nonzeros_median,converged_runs,repeats,all_runs_converged
degree,adaptive_solve_ivp,100,1.265021166,1.183752416,1.4268256659999996,1.265443374,20.0,16.0,16.0,,3.0,3,True
degree,adaptive_solve_ivp,200,1.5877413329999994,1.4957802500000001,1.6383439170000003,1.5878047489999991,21.0,19.0,19.0,,3.0,3,True
degree,adaptive_solve_ivp,300,2.008212209,1.7623844999999996,2.2836609170000006,2.0082735009999997,21.0,23.0,23.0,,3.0,3,True
degree,adaptive_solve_ivp,400,1.987338042000001,1.867931917,2.169244416999998,1.9874077500000027,21.0,26.0,26.0,,3.0,3,True
degree,adaptive_solve_ivp,500,2.2861111660000013,1.9895523750000024,2.3773402499999996,2.286187708,21.0,29.0,29.0,,3.0,3,True
degree,adaptive_solve_ivp,600,2.0318113330000003,1.874818249999997,2.1669283749999977,2.0318795000000023,21.0,27.0,27.0,,3.0,3,True
degree,adaptive_solve_ivp,700,2.3531074160000003,2.0638428330000025,2.651541082999998,2.3531769989999987,21.0,31.0,31.0,,3.0,3,True
degree,adaptive_solve_ivp,800,2.576892583000003,1.9495183749999967,2.8416929999999994,2.576975541000003,21.0,32.0,32.0,,3.0,3,True
degree,adaptive_solve_ivp,900,2.486111874999999,2.362901083000004,2.708539917000003,2.4862019170000025,21.0,35.0,35.0,,3.0,3,True
degree,adaptive_solve_ivp,1000,2.6031392919999945,2.460387540999996,3.1299311659999915,2.603239333999994,21.0,35.0,35.0,,3.0,3,True
degree,adaptive_solve_ivp,1100,2.582584957999998,2.483226916999996,2.849529000000004,2.582710917,21.0,37.0,37.0,,3.0,3,True
degree,adaptive_solve_ivp,1200,2.6140800840000082,2.4116381669999924,2.7314639589999956,2.61416945900001,21.0,36.0,36.0,,3.0,3,True
degree,adaptive_solve_ivp,1300,3.2088205000000016,2.6801533750000033,3.9366793340000044,3.208917833000001,21.0,38.0,38.0,,3.0,3,True
degree,adaptive_solve_ivp,1400,3.0188046669999977,2.769042541999994,3.617148125,3.0189072919999944,21.0,40.0,40.0,,3.0,3,True
degree,adaptive_solve_ivp,1500,2.9540428330000026,2.850447625000001,3.1866552919999975,2.9541494169999964,21.0,41.0,41.0,,3.0,3,True
degree,adaptive_solve_ivp,1600,3.1313853749999936,2.6530857089999955,3.2987142090000106,3.131496416999994,21.0,41.0,41.0,,3.0,3,True
degree,adaptive_solve_ivp,1700,3.446026582999991,2.8569482500000163,4.125065875000004,3.446160582999994,21.0,41.0,41.0,,3.0,3,True
degree,adaptive_solve_ivp,1800,3.173657792,2.7882998329999964,3.6522875,3.173783625999988,21.0,43.0,43.0,,3.0,3,True
degree,adaptive_solve_ivp,1900,3.5950608750000015,3.2905148750000137,3.665124249999991,3.5951825830000246,21.0,45.0,45.0,,3.0,3,True
degree,adaptive_solve_ivp,2000,3.9354832079999937,3.094327124999978,4.255764833000001,3.935682999999983,21.0,43.0,43.0,,3.0,3,True
