network_model,nodes,edges,attachment_m,repeat,seed,time_grid_steps,max_fbs_iterations,tolerance,model_level,solver_type,state_dimension,degree_classes,matrix_nonzeros,prep_seconds,fbs_seconds,total_seconds,fbs_iterations,final_delta,converged,cost,mean_initial_state,mean_final_state,mean_control,max_control,horizon,beta,delta,state_weight,control_weight,control_max,damping
Barabasi-Albert scale-free,1000,2994,3,1,20262617,25,50,0.0001,node,sparse,1000.0,,5988.0,0.0017823750000001137,0.13489125000000013,0.13667362500000024,19.0,7.214899064206248e-05,1.0,0.0709158000641898,0.015255000000000006,0.004594447487928363,0.0035354157694789247,0.12076913393003819,8.0,0.55,0.2,1.0,8.0,0.8,0.25
Barabasi-Albert scale-free,2000,5994,3,1,20263617,25,50,0.0001,node,sparse,2000.0,,11988.0,0.002426290999999914,0.1881154159999998,0.19054170699999973,19.0,7.210037164109839e-05,1.0,0.06773845412561519,0.015127500000000007,0.004143404694892871,0.003327512407601806,0.11914362119192258,8.0,0.55,0.2,1.0,8.0,0.8,0.25
Barabasi-Albert scale-free,3000,8994,3,1,20264617,25,50,0.0001,node,sparse,3000.0,,17988.0,0.0029382079999999977,0.2379038750000002,0.2408420830000002,19.0,7.182759301381514e-05,1.0,0.06443016814278098,0.015085000000000003,0.0036408986434196826,0.0030979997231721304,0.11567232207312954,8.0,0.55,0.2,1.0,8.0,0.8,0.25
Barabasi-Albert scale-free,4000,11994,3,1,20265617,25,50,0.0001,node,sparse,4000.0,,23988.0,0.003776790999999946,0.2748295420000002,0.27860633300000015,18.0,9.979472023188829e-05,1.0,0.06340255591775555,0.015063750000000006,0.0034953987960346217,0.0030248269469625873,0.11403331582159013,8.0,0.55,0.2,1.0,8.0,0.8,0.25
Barabasi-Albert scale-free,5000,14994,3,1,20266617,25,50,0.0001,node,sparse,5000.0,,29988.0,0.004875375000000126,0.3291565409999999,0.33403191600000004,18.0,9.995091073428108e-05,1.0,0.06363365295845781,0.015051000000000002,0.003537316278653016,0.0030428455884851054,0.11475807304585169,8.0,0.55,0.2,1.0,8.0,0.8,0.25
Barabasi-Albert scale-free,6000,17994,3,1,20267617,25,50,0.0001,node,sparse,6000.0,,35988.0,0.02072791599999979,0.37896600000000014,0.3996939159999999,18.0,9.983358234401385e-05,1.0,0.06298316313091415,0.015042500000000004,0.003442915761508655,0.002998108672007098,0.11351217582313657,8.0,0.55,0.2,1.0,8.0,0.8,0.25
Barabasi-Albert scale-free,7000,20994,3,1,20268617,25,50,0.0001,node,sparse,7000.0,,41988.0,0.006376083999999782,0.45597545900000025,0.46235154300000003,19.0,7.206001336029777e-05,1.0,0.06377095661446384,0.015036428571428577,0.003567342330906111,0.0030584225698941318,0.11625598985880392,8.0,0.55,0.2,1.0,8.0,0.8,0.25
Barabasi-Albert scale-free,8000,23994,3,1,20269617,25,50,0.0001,node,sparse,8000.0,,47988.0,0.007541166999999849,0.5199252919999999,0.5274664589999998,19.0,7.18694161463973e-05,1.0,0.06331630172028739,0.015031875000000007,0.00349913363010874,0.003027050523083284,0.11487279067079703,8.0,0.55,0.2,1.0,8.0,0.8,0.25
Barabasi-Albert scale-free,9000,26994,3,1,20270617,25,50,0.0001,node,sparse,9000.0,,53988.0,0.008319666999999864,0.5416675829999997,0.5499872499999996,18.0,9.960825603745616e-05,1.0,0.0626493721554963,0.01502833333333334,0.0034005252688044606,0.0029763774153210337,0.11342375099765829,8.0,0.55,0.2,1.0,8.0,0.8,0.25
Barabasi-Albert scale-free,10000,29994,3,1,20271617,25,50,0.0001,node,sparse,10000.0,,59988.0,0.009008582999999959,0.6194359589999996,0.6284445419999996,19.0,7.195901898501833e-05,1.0,0.06337398804464726,0.015025500000000006,0.0035110708065317375,0.0030320413020410246,0.115358697118968,8.0,0.55,0.2,1.0,8.0,0.8,0.25
