iteration,max_control_change,tolerance,below_tolerance,run_converged
1,0.42,0.0001,False,True
2,0.26923942649952076,0.0001,False,True
3,0.16193872346805682,0.0001,False,True
4,0.09864674417878982,0.0001,False,True
5,0.060778812723606856,0.0001,False,True
6,0.037814436147926456,0.0001,False,True
7,0.023732486778677453,0.0001,False,True
8,0.015202445717749202,0.0001,False,True
9,0.010236016659596614,0.0001,False,True
10,0.0068724005612470496,0.0001,False,True
11,0.004641013723585163,0.0001,False,True
12,0.0030902625407528417,0.0001,False,True
13,0.0020757258864668726,0.0001,False,True
14,0.0013858092906134933,0.0001,False,True
15,0.0009249451740181991,0.0001,False,True
16,0.0006129523590294728,0.0001,False,True
17,0.0004154914078506877,0.0001,False,True
18,0.0002801487053538665,0.0001,False,True
19,0.00018480970941459063,0.0001,False,True
20,0.0001286053054018188,0.0001,False,True
21,8.174116852888158e-05,0.0001,True,True
