scenario,sample_type,sample_id,metric,value,better
computed FBS control,computed,computed,cost,19.00403656710749,lower
no control,deterministic,no control,cost,30.22653902164401,lower
constant mean control,deterministic,constant mean control,cost,20.256733740344533,lower
random smooth control,random,random_001,cost,21.45009042868737,lower
random smooth control,random,random_002,cost,22.89874575855032,lower
random smooth control,random,random_003,cost,24.338281502194477,lower
random smooth control,random,random_004,cost,20.70620206071961,lower
random smooth control,random,random_005,cost,22.545413559673776,lower
random smooth control,random,random_006,cost,22.56217648903518,lower
random smooth control,random,random_007,cost,24.283161013194142,lower
random smooth control,random,random_008,cost,21.507996264529428,lower
random smooth control,random,random_009,cost,21.301838647734613,lower
random smooth control,random,random_010,cost,23.374510335530484,lower
random smooth control,random,random_011,cost,21.398946255306804,lower
random smooth control,random,random_012,cost,22.04317571967234,lower
random smooth control,random,random_013,cost,20.596815119113415,lower
random smooth control,random,random_014,cost,22.476187535806815,lower
random smooth control,random,random_015,cost,23.447706742898177,lower
random smooth control,random,random_016,cost,22.01993703611396,lower
random smooth control,random,random_017,cost,21.6980665952667,lower
random smooth control,random,random_018,cost,21.999461854065515,lower
random smooth control,random,random_019,cost,22.198426826731982,lower
random smooth control,random,random_020,cost,23.621878153848066,lower
random smooth control,random,random_021,cost,23.3350264241164,lower
random smooth control,random,random_022,cost,22.31484402575102,lower
random smooth control,random,random_023,cost,21.716865286053572,lower
random smooth control,random,random_024,cost,22.31396258513478,lower
random smooth control,random,random_025,cost,22.994143489895997,lower
random smooth control,random,random_026,cost,21.18068605084611,lower
random smooth control,random,random_027,cost,24.0170918038963,lower
random smooth control,random,random_028,cost,22.954643516767387,lower
random smooth control,random,random_029,cost,21.377610126491604,lower
random smooth control,random,random_030,cost,21.597640094841044,lower
random smooth control,random,random_031,cost,22.11321294524121,lower
random smooth control,random,random_032,cost,22.177806336853116,lower
random smooth control,random,random_033,cost,22.524922030603747,lower
random smooth control,random,random_034,cost,24.203382374453728,lower
random smooth control,random,random_035,cost,22.330032221544418,lower
random smooth control,random,random_036,cost,22.632995663879377,lower
random smooth control,random,random_037,cost,21.793052982092703,lower
random smooth control,random,random_038,cost,21.839660577988198,lower
random smooth control,random,random_039,cost,22.884463452006678,lower
random smooth control,random,random_040,cost,22.652385998206377,lower
random smooth control,random,random_041,cost,21.71590652048963,lower
random smooth control,random,random_042,cost,22.043671235715316,lower
random smooth control,random,random_043,cost,21.093523904230256,lower
random smooth control,random,random_044,cost,21.172231255001527,lower
random smooth control,random,random_045,cost,24.04324897895463,lower
random smooth control,random,random_046,cost,21.37031202748956,lower
random smooth control,random,random_047,cost,23.101431684200243,lower
random smooth control,random,random_048,cost,21.876219578166193,lower
random smooth control,random,random_049,cost,23.816551090549027,lower
random smooth control,random,random_050,cost,21.470462127199028,lower
random smooth control,random,random_051,cost,21.206770560997928,lower
random smooth control,random,random_052,cost,23.751026807518524,lower
random smooth control,random,random_053,cost,22.289783205461696,lower
random smooth control,random,random_054,cost,21.453597005254565,lower
random smooth control,random,random_055,cost,21.93946666051861,lower
random smooth control,random,random_056,cost,23.639298547354706,lower
random smooth control,random,random_057,cost,21.241932609907963,lower
random smooth control,random,random_058,cost,20.746677783298352,lower
random smooth control,random,random_059,cost,21.90847389781309,lower
random smooth control,random,random_060,cost,22.211448425020883,lower
random smooth control,random,random_061,cost,21.373739142567636,lower
random smooth control,random,random_062,cost,21.930355762115028,lower
random smooth control,random,random_063,cost,22.497872898687465,lower
random smooth control,random,random_064,cost,23.441001794242318,lower
random smooth control,random,random_065,cost,24.39413244940441,lower
random smooth control,random,random_066,cost,20.88843418798793,lower
random smooth control,random,random_067,cost,21.914931924025666,lower
random smooth control,random,random_068,cost,21.540904362660537,lower
random smooth control,random,random_069,cost,22.141306717726376,lower
random smooth control,random,random_070,cost,23.9075221186445,lower
random smooth control,random,random_071,cost,23.592478507340452,lower
random smooth control,random,random_072,cost,20.38724987857502,lower
random smooth control,random,random_073,cost,22.54774001253751,lower
random smooth control,random,random_074,cost,22.727107753471763,lower
random smooth control,random,random_075,cost,22.22233730699893,lower
