iteration,max_control_change,tolerance,below_tolerance,run_converged
1,0.42,0.0001,False,True
2,0.2730000000000001,0.0001,False,True
3,0.18359795381980548,0.0001,False,True
4,0.1238210804371318,0.0001,False,True
5,0.08043873798673307,0.0001,False,True
6,0.05101867214035072,0.0001,False,True
7,0.0319154656084536,0.0001,False,True
8,0.019860686460865695,0.0001,False,True
9,0.012636314267780557,0.0001,False,True
10,0.008073372112046284,0.0001,False,True
11,0.005156396636539107,0.0001,False,True
12,0.0032981140882741844,0.0001,False,True
13,0.002117719137184393,0.0001,False,True
14,0.0013555889061751536,0.0001,False,True
15,0.0008746620524151538,0.0001,False,True
16,0.0005630898964776865,0.0001,False,True
17,0.0003634680377428978,0.0001,False,True
18,0.00023249925504198465,0.0001,False,True
19,0.0001508149686730853,0.0001,False,True
20,9.461972364999127e-05,0.0001,True,True
