scenario,sample_type,sample_id,metric,value,better
computed FBS control,computed,computed,cost,24.186847982529432,lower
no control,deterministic,no control,cost,31.643327727514947,lower
constant mean control,deterministic,constant mean control,cost,24.781453858633164,lower
random smooth control,random,random_001,cost,26.500091156821114,lower
random smooth control,random,random_002,cost,26.72259490948516,lower
random smooth control,random,random_003,cost,26.52723439060935,lower
random smooth control,random,random_004,cost,26.086373701573223,lower
random smooth control,random,random_005,cost,27.26542949775028,lower
random smooth control,random,random_006,cost,27.20543689511786,lower
random smooth control,random,random_007,cost,26.733290682556948,lower
random smooth control,random,random_008,cost,26.80008580204033,lower
random smooth control,random,random_009,cost,26.238401462198965,lower
random smooth control,random,random_010,cost,26.109674055209737,lower
random smooth control,random,random_011,cost,25.967358340314284,lower
random smooth control,random,random_012,cost,26.471664132603948,lower
random smooth control,random,random_013,cost,25.96629296165544,lower
random smooth control,random,random_014,cost,26.36788456479627,lower
random smooth control,random,random_015,cost,27.178911149464998,lower
random smooth control,random,random_016,cost,27.79339292088477,lower
random smooth control,random,random_017,cost,26.555370579633127,lower
random smooth control,random,random_018,cost,26.82053902109542,lower
random smooth control,random,random_019,cost,26.23102871545441,lower
random smooth control,random,random_020,cost,26.56694640322178,lower
random smooth control,random,random_021,cost,26.563270028396737,lower
random smooth control,random,random_022,cost,26.273909177891937,lower
random smooth control,random,random_023,cost,27.7857003077465,lower
random smooth control,random,random_024,cost,27.405727558692462,lower
random smooth control,random,random_025,cost,26.17175386739084,lower
random smooth control,random,random_026,cost,26.417155781342053,lower
random smooth control,random,random_027,cost,27.07294209444416,lower
random smooth control,random,random_028,cost,26.109096040077223,lower
random smooth control,random,random_029,cost,26.642736034613513,lower
random smooth control,random,random_030,cost,26.957488315364632,lower
random smooth control,random,random_031,cost,26.590412074717268,lower
random smooth control,random,random_032,cost,27.20763029444032,lower
random smooth control,random,random_033,cost,26.90826056678394,lower
random smooth control,random,random_034,cost,27.2526926585698,lower
random smooth control,random,random_035,cost,27.526362750320658,lower
random smooth control,random,random_036,cost,26.031645690293544,lower
random smooth control,random,random_037,cost,27.210267681321227,lower
random smooth control,random,random_038,cost,27.596862226123946,lower
random smooth control,random,random_039,cost,26.44337036858084,lower
random smooth control,random,random_040,cost,26.92434140879469,lower
random smooth control,random,random_041,cost,26.186174764455266,lower
random smooth control,random,random_042,cost,27.53073673013479,lower
random smooth control,random,random_043,cost,26.958811864250492,lower
random smooth control,random,random_044,cost,27.2761145265085,lower
random smooth control,random,random_045,cost,26.324580376818197,lower
random smooth control,random,random_046,cost,27.060101444570137,lower
random smooth control,random,random_047,cost,25.93406591415073,lower
random smooth control,random,random_048,cost,27.420735870779588,lower
random smooth control,random,random_049,cost,27.23651480501561,lower
random smooth control,random,random_050,cost,27.196737373795642,lower
random smooth control,random,random_051,cost,25.943865424226694,lower
random smooth control,random,random_052,cost,27.228073509870605,lower
random smooth control,random,random_053,cost,26.80014797305166,lower
random smooth control,random,random_054,cost,26.782175571754394,lower
random smooth control,random,random_055,cost,26.211399957515475,lower
random smooth control,random,random_056,cost,27.61790293106455,lower
random smooth control,random,random_057,cost,26.590716260296013,lower
random smooth control,random,random_058,cost,26.845718466591315,lower
random smooth control,random,random_059,cost,28.436600917955126,lower
random smooth control,random,random_060,cost,26.605607614871545,lower
random smooth control,random,random_061,cost,27.45037260559132,lower
random smooth control,random,random_062,cost,27.16909319852906,lower
random smooth control,random,random_063,cost,27.712356281322066,lower
random smooth control,random,random_064,cost,27.134118322683932,lower
random smooth control,random,random_065,cost,26.273336553113403,lower
random smooth control,random,random_066,cost,27.292263828684806,lower
random smooth control,random,random_067,cost,26.912448571609993,lower
random smooth control,random,random_068,cost,25.837894601406887,lower
random smooth control,random,random_069,cost,27.456660834655594,lower
random smooth control,random,random_070,cost,25.73663521309178,lower
random smooth control,random,random_071,cost,27.99524749775129,lower
random smooth control,random,random_072,cost,26.17635730973396,lower
random smooth control,random,random_073,cost,27.532435590913025,lower
random smooth control,random,random_074,cost,26.431563454828783,lower
random smooth control,random,random_075,cost,27.25126716189393,lower
