iteration,max_control_change,tolerance,below_tolerance,run_converged
1,0.42,0.0001,False,True
2,0.2730000000000001,0.0001,False,True
3,0.17745,0.0001,False,True
4,0.11534250000000001,0.0001,False,True
5,0.07824235968978999,0.0001,False,True
6,0.054101321663085455,0.0001,False,True
7,0.03702929810021216,0.0001,False,True
8,0.02515698432201674,0.0001,False,True
9,0.017017179800760007,0.0001,False,True
10,0.011473478376360036,0.0001,False,True
11,0.0077187837618829525,0.0001,False,True
12,0.005201745711124639,0.0001,False,True
13,0.0034953161788059406,0.0001,False,True
14,0.002342607087681081,0.0001,False,True
15,0.0015791638870056302,0.0001,False,True
16,0.0010570504058330377,0.0001,False,True
17,0.0007112333992380648,0.0001,False,True
18,0.0004818194353417571,0.0001,False,True
19,0.00032225130153573645,0.0001,False,True
20,0.00021942519673734395,0.0001,False,True
21,0.00015194081130376347,0.0001,False,True
22,9.629519193832259e-05,0.0001,True,True
