example,scenario,sample_type,sample_id,metric,value,better,panel
degree_control,computed FBS control,computed,computed,cost,29.34045097697439,lower,
degree_control,no control,deterministic,no control,cost,34.365433315528584,lower,
degree_control,constant mean control,deterministic,constant mean control,cost,29.53463220936699,lower,
degree_control,random smooth control,random,random_001,cost,32.17510825435984,lower,
degree_control,random smooth control,random,random_002,cost,30.87894190982417,lower,
degree_control,random smooth control,random,random_003,cost,33.344446460043805,lower,
degree_control,random smooth control,random,random_004,cost,32.29850437083545,lower,
degree_control,random smooth control,random,random_005,cost,31.76009076556576,lower,
degree_control,random smooth control,random,random_006,cost,30.972148996534635,lower,
degree_control,random smooth control,random,random_007,cost,30.937801691437247,lower,
degree_control,random smooth control,random,random_008,cost,30.948580912237578,lower,
degree_control,random smooth control,random,random_009,cost,31.34866612924106,lower,
degree_control,random smooth control,random,random_010,cost,30.720269341233887,lower,
degree_control,random smooth control,random,random_011,cost,31.482846343741624,lower,
degree_control,random smooth control,random,random_012,cost,31.784621635476203,lower,
degree_control,random smooth control,random,random_013,cost,31.26648066491306,lower,
degree_control,random smooth control,random,random_014,cost,31.647559206739714,lower,
degree_control,random smooth control,random,random_015,cost,31.93440249175719,lower,
degree_control,random smooth control,random,random_016,cost,32.32217901925962,lower,
degree_control,random smooth control,random,random_017,cost,32.244845643506935,lower,
degree_control,random smooth control,random,random_018,cost,32.63402639980037,lower,
degree_control,random smooth control,random,random_019,cost,31.370000400626964,lower,
degree_control,random smooth control,random,random_020,cost,31.123775210565846,lower,
degree_control,random smooth control,random,random_021,cost,31.681032320396664,lower,
degree_control,random smooth control,random,random_022,cost,31.63863861548634,lower,
degree_control,random smooth control,random,random_023,cost,32.28461318875091,lower,
degree_control,random smooth control,random,random_024,cost,31.640833100895758,lower,
degree_control,random smooth control,random,random_025,cost,33.77388670375045,lower,
degree_control,random smooth control,random,random_026,cost,31.623464601086265,lower,
degree_control,random smooth control,random,random_027,cost,32.26157263390115,lower,
degree_control,random smooth control,random,random_028,cost,34.2030840523023,lower,
degree_control,random smooth control,random,random_029,cost,31.358403242115514,lower,
degree_control,random smooth control,random,random_030,cost,32.88224149951713,lower,
degree_control,random smooth control,random,random_031,cost,31.006007321028402,lower,
degree_control,random smooth control,random,random_032,cost,32.43336838189297,lower,
degree_control,random smooth control,random,random_033,cost,32.460242641622365,lower,
degree_control,random smooth control,random,random_034,cost,31.75289778507235,lower,
degree_control,random smooth control,random,random_035,cost,31.089859051323614,lower,
degree_control,random smooth control,random,random_036,cost,31.702471931910438,lower,
degree_control,random smooth control,random,random_037,cost,30.978470799602647,lower,
degree_control,random smooth control,random,random_038,cost,32.52997135983207,lower,
degree_control,random smooth control,random,random_039,cost,31.121358499414896,lower,
degree_control,random smooth control,random,random_040,cost,31.194454220490954,lower,
degree_control,random smooth control,random,random_041,cost,31.724765938750494,lower,
degree_control,random smooth control,random,random_042,cost,31.392682028204486,lower,
degree_control,random smooth control,random,random_043,cost,31.870376086966232,lower,
degree_control,random smooth control,random,random_044,cost,31.559945890626057,lower,
degree_control,random smooth control,random,random_045,cost,33.58392799837999,lower,
degree_control,random smooth control,random,random_046,cost,31.898310894270697,lower,
degree_control,random smooth control,random,random_047,cost,31.99767895953489,lower,
degree_control,random smooth control,random,random_048,cost,31.201066220273322,lower,
degree_control,random smooth control,random,random_049,cost,31.59956132067245,lower,
degree_control,random smooth control,random,random_050,cost,31.63527411641143,lower,
degree_control,random smooth control,random,random_051,cost,31.259072361899822,lower,
degree_control,random smooth control,random,random_052,cost,31.814840913808595,lower,
degree_control,random smooth control,random,random_053,cost,31.847996788178005,lower,
degree_control,random smooth control,random,random_054,cost,31.15837250175531,lower,
degree_control,random smooth control,random,random_055,cost,31.66735675501394,lower,
degree_control,random smooth control,random,random_056,cost,31.107846648415347,lower,
degree_control,random smooth control,random,random_057,cost,32.46928085642238,lower,
degree_control,random smooth control,random,random_058,cost,30.972885098273764,lower,
degree_control,random smooth control,random,random_059,cost,32.21986142311613,lower,
degree_control,random smooth control,random,random_060,cost,31.939587744706138,lower,
degree_control,random smooth control,random,random_061,cost,31.97901306499437,lower,
degree_control,random smooth control,random,random_062,cost,32.89814728257339,lower,
degree_control,random smooth control,random,random_063,cost,30.930977354319616,lower,
degree_control,random smooth control,random,random_064,cost,30.879367482486476,lower,
degree_control,random smooth control,random,random_065,cost,31.48649995794189,lower,
degree_control,random smooth control,random,random_066,cost,32.49870819538417,lower,
degree_control,random smooth control,random,random_067,cost,32.96573679375788,lower,
degree_control,random smooth control,random,random_068,cost,31.464310514600164,lower,
degree_control,random smooth control,random,random_069,cost,30.72445137948218,lower,
degree_control,random smooth control,random,random_070,cost,31.934368770309792,lower,
degree_control,random smooth control,random,random_071,cost,31.45967563577365,lower,
degree_control,random smooth control,random,random_072,cost,31.56604034945761,lower,
degree_control,random smooth control,random,random_073,cost,32.161606528711474,lower,
degree_control,random smooth control,random,random_074,cost,30.96095008082996,lower,
degree_control,random smooth control,random,random_075,cost,32.21942714394462,lower,
node_control,computed FBS control,computed,computed,cost,20.79210687305304,lower,
node_control,no control,deterministic,no control,cost,83.04394497954404,lower,
node_control,constant mean control,deterministic,constant mean control,cost,29.88116263668273,lower,
node_control,random smooth control,random,random_001,cost,51.600559004149595,lower,
node_control,random smooth control,random,random_002,cost,52.272233968595025,lower,
node_control,random smooth control,random,random_003,cost,58.49100503024181,lower,
node_control,random smooth control,random,random_004,cost,49.06247426246483,lower,
node_control,random smooth control,random,random_005,cost,58.84667096876012,lower,
node_control,random smooth control,random,random_006,cost,46.93092699506348,lower,
node_control,random smooth control,random,random_007,cost,49.30308254380957,lower,
node_control,random smooth control,random,random_008,cost,54.45731724931305,lower,
node_control,random smooth control,random,random_009,cost,51.718237569281854,lower,
node_control,random smooth control,random,random_010,cost,57.395837723720575,lower,
node_control,random smooth control,random,random_011,cost,57.330771477053865,lower,
node_control,random smooth control,random,random_012,cost,45.570015465132784,lower,
node_control,random smooth control,random,random_013,cost,44.33678800459852,lower,
node_control,random smooth control,random,random_014,cost,57.87858731656936,lower,
node_control,random smooth control,random,random_015,cost,54.70812571458748,lower,
