example,scenario,sample_type,sample_id,metric,value,better,panel
degree_control,computed FBS control,computed,computed,cost,19.013075874591266,lower,
degree_control,no control,deterministic,no control,cost,30.224630709663213,lower,
degree_control,constant mean control,deterministic,constant mean control,cost,20.24896129112524,lower,
degree_control,random smooth control,random,random_001,cost,22.53917300734074,lower,
degree_control,random smooth control,random,random_002,cost,22.79954295756751,lower,
degree_control,random smooth control,random,random_003,cost,22.72735351809098,lower,
degree_control,random smooth control,random,random_004,cost,22.960619263658316,lower,
degree_control,random smooth control,random,random_005,cost,23.617165685138307,lower,
degree_control,random smooth control,random,random_006,cost,21.040258105367695,lower,
degree_control,random smooth control,random,random_007,cost,24.103124234893368,lower,
degree_control,random smooth control,random,random_008,cost,21.705614351405544,lower,
degree_control,random smooth control,random,random_009,cost,21.452789599504378,lower,
degree_control,random smooth control,random,random_010,cost,21.243100966298318,lower,
degree_control,random smooth control,random,random_011,cost,24.433934623040514,lower,
degree_control,random smooth control,random,random_012,cost,21.382170238733686,lower,
degree_control,random smooth control,random,random_013,cost,21.372984588899868,lower,
degree_control,random smooth control,random,random_014,cost,22.42305697798412,lower,
degree_control,random smooth control,random,random_015,cost,23.29661160106081,lower,
degree_control,random smooth control,random,random_016,cost,21.843230062878146,lower,
degree_control,random smooth control,random,random_017,cost,24.18355599557065,lower,
degree_control,random smooth control,random,random_018,cost,22.69168393033554,lower,
degree_control,random smooth control,random,random_019,cost,22.017973462048587,lower,
degree_control,random smooth control,random,random_020,cost,22.03026352707774,lower,
degree_control,random smooth control,random,random_021,cost,24.19357112129684,lower,
degree_control,random smooth control,random,random_022,cost,21.788681958684485,lower,
degree_control,random smooth control,random,random_023,cost,22.094911127798014,lower,
degree_control,random smooth control,random,random_024,cost,23.494649403717546,lower,
degree_control,random smooth control,random,random_025,cost,24.59787836282164,lower,
degree_control,random smooth control,random,random_026,cost,22.965877320518747,lower,
degree_control,random smooth control,random,random_027,cost,21.694017183846015,lower,
degree_control,random smooth control,random,random_028,cost,23.63449523255893,lower,
degree_control,random smooth control,random,random_029,cost,21.520082447558902,lower,
degree_control,random smooth control,random,random_030,cost,22.371776744011942,lower,
degree_control,random smooth control,random,random_031,cost,21.922822995239756,lower,
degree_control,random smooth control,random,random_032,cost,23.883807739996804,lower,
degree_control,random smooth control,random,random_033,cost,22.348585979642177,lower,
degree_control,random smooth control,random,random_034,cost,24.12688341579926,lower,
degree_control,random smooth control,random,random_035,cost,24.694701888329284,lower,
degree_control,random smooth control,random,random_036,cost,23.740273079035436,lower,
degree_control,random smooth control,random,random_037,cost,22.059205946747298,lower,
