example,scenario,sample_type,sample_id,metric,value,better,panel
degree_control,computed FBS control,computed,computed,cost,24.194938041771305,lower,
degree_control,no control,deterministic,no control,cost,31.641258098556218,lower,
degree_control,constant mean control,deterministic,constant mean control,cost,24.769853895565515,lower,
degree_control,random smooth control,random,random_001,cost,26.85050133331605,lower,
degree_control,random smooth control,random,random_002,cost,28.2158508693447,lower,
degree_control,random smooth control,random,random_003,cost,26.67723297886806,lower,
degree_control,random smooth control,random,random_004,cost,27.123985892437503,lower,
degree_control,random smooth control,random,random_005,cost,27.741423179308413,lower,
degree_control,random smooth control,random,random_006,cost,26.562426215044134,lower,
degree_control,random smooth control,random,random_007,cost,26.14150198772216,lower,
degree_control,random smooth control,random,random_008,cost,27.044479019236704,lower,
degree_control,random smooth control,random,random_009,cost,26.98720028870262,lower,
degree_control,random smooth control,random,random_010,cost,26.544621466028413,lower,
degree_control,random smooth control,random,random_011,cost,27.72447577866147,lower,
degree_control,random smooth control,random,random_012,cost,27.48395470118966,lower,
degree_control,random smooth control,random,random_013,cost,27.133219005273006,lower,
degree_control,random smooth control,random,random_014,cost,26.544923450992002,lower,
degree_control,random smooth control,random,random_015,cost,27.756794017547726,lower,
degree_control,random smooth control,random,random_016,cost,27.450351034647717,lower,
degree_control,random smooth control,random,random_017,cost,26.042576774645752,lower,
degree_control,random smooth control,random,random_018,cost,26.88924445472171,lower,
degree_control,random smooth control,random,random_019,cost,27.02831093817671,lower,
degree_control,random smooth control,random,random_020,cost,25.725407421637325,lower,
degree_control,random smooth control,random,random_021,cost,28.27937234682966,lower,
degree_control,random smooth control,random,random_022,cost,26.771064696539632,lower,
degree_control,random smooth control,random,random_023,cost,26.402633356860033,lower,
degree_control,random smooth control,random,random_024,cost,26.57833094608779,lower,
degree_control,random smooth control,random,random_025,cost,26.418653431348194,lower,
degree_control,random smooth control,random,random_026,cost,26.223470072862078,lower,
degree_control,random smooth control,random,random_027,cost,27.41181078302634,lower,
degree_control,random smooth control,random,random_028,cost,26.287760926451693,lower,
degree_control,random smooth control,random,random_029,cost,27.105350715716785,lower,
degree_control,random smooth control,random,random_030,cost,27.427350335329823,lower,
degree_control,random smooth control,random,random_031,cost,25.987597848104286,lower,
degree_control,random smooth control,random,random_032,cost,26.591498871636166,lower,
degree_control,random smooth control,random,random_033,cost,26.859801543291173,lower,
