network_model,nodes,edges,attachment_m,repeat,seed,time_grid_steps,max_fbs_iterations,tolerance,model_level,state_dimension,degree_classes,prep_seconds,fbs_seconds,total_seconds,fbs_iterations,final_delta,converged,cost
Barabasi-Albert scale-free,100,294,3,1,20261717,35,60,0.0001,degree,16.0,16.0,0.00039641600000006605,1.144738458,1.145134874,20.0,7.661871641273521e-05,1.0,34.82415218644963
Barabasi-Albert scale-free,100,294,3,2,20262717,35,60,0.0001,degree,14.0,14.0,4.8291999999783286e-05,1.0222890000000002,1.022337292,19.0,9.907859549584952e-05,1.0,34.9274332513047
Barabasi-Albert scale-free,100,294,3,3,20263717,35,60,0.0001,degree,17.0,17.0,5.329200000003809e-05,1.3241243329999999,1.324177625,21.0,7.61230925125922e-05,1.0,34.72447262096316
Barabasi-Albert scale-free,200,594,3,1,20261817,35,60,0.0001,degree,19.0,19.0,6.812500000030752e-05,1.3760837920000002,1.3761519170000005,21.0,7.61230925125922e-05,1.0,34.79969997831124
Barabasi-Albert scale-free,200,594,3,2,20262817,35,60,0.0001,degree,20.0,20.0,4.8834000000219646e-05,1.4308682910000003,1.4309171250000006,21.0,7.61230925125922e-05,1.0,34.773414008706986
Barabasi-Albert scale-free,200,594,3,3,20263817,35,60,0.0001,degree,19.0,19.0,5.416700000004937e-05,1.4674527079999988,1.4675068749999989,21.0,7.61230925125922e-05,1.0,34.78992308387551
Barabasi-Albert scale-free,300,894,3,1,20261917,35,60,0.0001,degree,22.0,22.0,5.683300000036695e-05,1.8165752919999996,1.816632125,21.0,8.046571207770414e-05,1.0,34.639093411872764
Barabasi-Albert scale-free,300,894,3,2,20262917,35,60,0.0001,degree,23.0,23.0,5.97080000002137e-05,2.047090334,2.047150042,21.0,7.61230925125922e-05,1.0,34.72194037937826
Barabasi-Albert scale-free,300,894,3,3,20263917,35,60,0.0001,degree,25.0,25.0,0.00013649999999998386,1.6843974169999996,1.6845339169999995,22.0,5.767837847509005e-05,1.0,34.72125985783053
Barabasi-Albert scale-free,400,1194,3,1,20262017,35,60,0.0001,degree,26.0,26.0,6.449999999880163e-05,1.9314131669999988,1.9314776669999976,21.0,7.61230925125922e-05,1.0,34.70307693701481
Barabasi-Albert scale-free,400,1194,3,2,20263017,35,60,0.0001,degree,25.0,25.0,6.050000000001887e-05,1.6542807910000015,1.6543412910000015,21.0,8.559450218359466e-05,1.0,34.77025839079719
Barabasi-Albert scale-free,400,1194,3,3,20264017,35,60,0.0001,degree,27.0,27.0,5.487500000000978e-05,1.813607832999999,1.813662707999999,21.0,7.61230925125922e-05,1.0,34.64028063358703
Barabasi-Albert scale-free,500,1494,3,1,20262117,35,60,0.0001,degree,29.0,29.0,7.554200000114975e-05,2.133994041000001,2.1340695830000023,21.0,9.381269650488022e-05,1.0,34.687347150702955
Barabasi-Albert scale-free,500,1494,3,2,20263117,35,60,0.0001,degree,29.0,29.0,6.458300000034001e-05,1.8860274999999973,1.8860920829999976,22.0,4.948001013316272e-05,1.0,34.63318033259288
