model_level,nodes,fbs_seconds_median,fbs_seconds_min,fbs_seconds_max,total_seconds_median,fbs_iterations_median,state_dimension_median,degree_classes_median,converged_runs,repeats,all_runs_converged
degree,100,1.1679602500000001,1.054693125,1.3327752080000002,1.168510042,20.0,16.0,16.0,3.0,3,True
degree,200,1.4110872079999996,1.3654165000000003,1.5104390830000005,1.4111485419999994,21.0,19.0,19.0,3.0,3,True
degree,300,1.8660124590000002,1.7203772920000002,2.1268105409999993,1.866069126000001,21.0,23.0,23.0,3.0,3,True
degree,400,1.8718220000000017,1.704766166999999,1.9767815839999994,1.8718872910000002,21.0,26.0,26.0,3.0,3,True
degree,500,2.0943798750000013,1.947298,2.2390464169999973,2.094442333,21.0,29.0,29.0,3.0,3,True
degree,600,1.9150813749999998,1.747925041000002,2.073304541999999,1.9152544579999997,21.0,27.0,27.0,3.0,3,True
degree,700,2.1802739159999973,1.9297901250000038,2.5597724579999976,2.1803452079999985,21.0,31.0,31.0,3.0,3,True
degree,800,2.3204293749999962,1.8269511660000006,2.6851631250000025,2.3205034579999904,21.0,32.0,32.0,3.0,3,True
degree,900,2.2996158750000006,2.1786643330000004,2.479896166000003,2.299697457999997,21.0,35.0,35.0,3.0,3,True
degree,1000,2.459475167000001,2.2819794159999987,2.8714189579999996,2.4595618750000057,21.0,35.0,35.0,3.0,3,True
degree,1100,2.451287457999996,2.3381174579999993,2.6094617500000012,2.4513792079999916,21.0,37.0,37.0,3.0,3,True
degree,1200,2.4208537079999957,2.3497835419999973,2.610540042000011,2.4209469989999945,21.0,36.0,36.0,3.0,3,True
degree,1300,3.0555789590000018,2.446832666000006,3.6123142919999935,3.055689333999993,21.0,38.0,38.0,3.0,3,True
degree,1400,2.73724016700001,2.5220837079999967,3.1554197090000002,2.737351375000003,21.0,40.0,40.0,3.0,3,True
degree,1500,2.660711667000001,2.6039708749999875,2.891517500000006,2.660821167000009,21.0,41.0,41.0,3.0,3,True
degree,1600,2.890919083,2.426031583999986,3.034391415999991,2.891027873999988,21.0,41.0,41.0,3.0,3,True
degree,1700,3.191674374999991,2.636378332999996,3.797982458000007,3.1917890839999927,21.0,41.0,41.0,3.0,3,True
degree,1800,2.932464084000003,2.775037333,3.537870499999997,2.9325791670000143,22.0,43.0,43.0,3.0,3,True
degree,1900,3.4199275420000106,3.1822968330000094,3.430454250000011,3.420046917000036,21.0,45.0,45.0,3.0,3,True
degree,2000,3.7253714579999837,3.0148051250000094,3.9864606669999887,3.725503124999989,21.0,43.0,43.0,3.0,3,True
