iteration,max_control_change,tolerance,below_tolerance,run_converged
1,0.42,0.0001,False,True
2,0.2692209596909904,0.0001,False,True
3,0.1619059284890001,0.0001,False,True
4,0.09864333692707716,0.0001,False,True
5,0.06081461330155169,0.0001,False,True
6,0.03782249488607947,0.0001,False,True
7,0.023756504719060212,0.0001,False,True
8,0.01519763286367215,0.0001,False,True
9,0.010254882787421815,0.0001,False,True
10,0.006890889231921493,0.0001,False,True
11,0.004606519054766278,0.0001,False,True
12,0.0031067364619431492,0.0001,False,True
13,0.002085848107269972,0.0001,False,True
14,0.0014002127463665914,0.0001,False,True
15,0.0009084331804092294,0.0001,False,True
16,0.000611367244681249,0.0001,False,True
17,0.0004134548340514188,0.0001,False,True
18,0.0002847140501693879,0.0001,False,True
19,0.0001679151678438684,0.0001,False,True
20,0.00012096027958063971,0.0001,False,True
21,8.35446217639646e-05,0.0001,True,True
