scenario,sample_type,sample_id,metric,value,better
computed FBS control,computed,computed,cost,30.41514539310344,lower
no control,deterministic,no control,cost,34.90489831583417,lower
constant mean control,deterministic,constant mean control,cost,30.609940032290176,lower
random smooth control,random,random_001,cost,32.64762260236974,lower
random smooth control,random,random_002,cost,32.15688957366909,lower
random smooth control,random,random_003,cost,32.4458596162757,lower
random smooth control,random,random_004,cost,33.51037372767563,lower
random smooth control,random,random_005,cost,34.052633679974065,lower
random smooth control,random,random_006,cost,32.60523562143129,lower
random smooth control,random,random_007,cost,32.10321143507992,lower
random smooth control,random,random_008,cost,33.128522108711465,lower
random smooth control,random,random_009,cost,32.47230728099331,lower
random smooth control,random,random_010,cost,32.303063543601475,lower
random smooth control,random,random_011,cost,32.17483525332091,lower
random smooth control,random,random_012,cost,32.31816834671425,lower
random smooth control,random,random_013,cost,32.96149144174542,lower
random smooth control,random,random_014,cost,33.38775969489727,lower
random smooth control,random,random_015,cost,32.91003964722641,lower
random smooth control,random,random_016,cost,32.85375060322793,lower
random smooth control,random,random_017,cost,32.79808317439104,lower
random smooth control,random,random_018,cost,32.909874302982246,lower
random smooth control,random,random_019,cost,32.87695535356082,lower
random smooth control,random,random_020,cost,33.03731092491069,lower
random smooth control,random,random_021,cost,31.892620944181765,lower
random smooth control,random,random_022,cost,33.47607002723012,lower
random smooth control,random,random_023,cost,33.31698663853228,lower
random smooth control,random,random_024,cost,32.46030976049718,lower
random smooth control,random,random_025,cost,32.6550658165122,lower
random smooth control,random,random_026,cost,32.40454618526072,lower
random smooth control,random,random_027,cost,32.907170232603534,lower
random smooth control,random,random_028,cost,33.71325756147108,lower
random smooth control,random,random_029,cost,32.07299086974932,lower
random smooth control,random,random_030,cost,32.55650690174217,lower
random smooth control,random,random_031,cost,32.18687453588834,lower
random smooth control,random,random_032,cost,32.93514670207643,lower
random smooth control,random,random_033,cost,31.623458611813597,lower
random smooth control,random,random_034,cost,33.3161438336722,lower
random smooth control,random,random_035,cost,32.90891056684528,lower
random smooth control,random,random_036,cost,32.71387756024243,lower
random smooth control,random,random_037,cost,33.843591649211426,lower
random smooth control,random,random_038,cost,33.15439985352815,lower
random smooth control,random,random_039,cost,32.9677242623645,lower
random smooth control,random,random_040,cost,32.57800166393459,lower
random smooth control,random,random_041,cost,33.26470932508686,lower
random smooth control,random,random_042,cost,32.69688690117334,lower
random smooth control,random,random_043,cost,32.99487049565025,lower
random smooth control,random,random_044,cost,33.58024056647642,lower
random smooth control,random,random_045,cost,33.507599500331445,lower
random smooth control,random,random_046,cost,33.334343147811055,lower
random smooth control,random,random_047,cost,32.39124934681032,lower
random smooth control,random,random_048,cost,32.3562327764223,lower
random smooth control,random,random_049,cost,33.65844882961862,lower
random smooth control,random,random_050,cost,32.050111802734676,lower
random smooth control,random,random_051,cost,33.16206035176866,lower
random smooth control,random,random_052,cost,33.20527509100779,lower
random smooth control,random,random_053,cost,32.9484544592315,lower
random smooth control,random,random_054,cost,32.341728016350736,lower
random smooth control,random,random_055,cost,32.79773568120133,lower
random smooth control,random,random_056,cost,33.26875396329998,lower
random smooth control,random,random_057,cost,32.93816126352217,lower
random smooth control,random,random_058,cost,31.7162028057773,lower
random smooth control,random,random_059,cost,32.655926912941865,lower
random smooth control,random,random_060,cost,32.603264484005635,lower
random smooth control,random,random_061,cost,33.53703489954288,lower
random smooth control,random,random_062,cost,32.92378176096012,lower
random smooth control,random,random_063,cost,32.37691890249213,lower
random smooth control,random,random_064,cost,33.43016727670934,lower
random smooth control,random,random_065,cost,32.94768458099108,lower
random smooth control,random,random_066,cost,32.450411307823046,lower
random smooth control,random,random_067,cost,32.654812218271786,lower
random smooth control,random,random_068,cost,32.17001716458698,lower
random smooth control,random,random_069,cost,33.81557418260721,lower
random smooth control,random,random_070,cost,32.247228665197554,lower
random smooth control,random,random_071,cost,33.16249147324963,lower
random smooth control,random,random_072,cost,32.92010458893497,lower
random smooth control,random,random_073,cost,33.21499783281586,lower
random smooth control,random,random_074,cost,33.0592402286047,lower
random smooth control,random,random_075,cost,33.66403432708704,lower
