scenario,sample_type,sample_id,metric,value,better
computed FBS control,computed,computed,cost,24.18687416923265,lower
no control,deterministic,no control,cost,31.64332772751495,lower
constant mean control,deterministic,constant mean control,cost,24.781484908015724,lower
random smooth control,random,random_001,cost,26.500091215603767,lower
random smooth control,random,random_002,cost,26.72259535522177,lower
random smooth control,random,random_003,cost,26.527231320156915,lower
random smooth control,random,random_004,cost,26.086374077837206,lower
random smooth control,random,random_005,cost,27.265429493499504,lower
random smooth control,random,random_006,cost,27.20543690859331,lower
random smooth control,random,random_007,cost,26.73329067547276,lower
random smooth control,random,random_008,cost,26.800085812519335,lower
random smooth control,random,random_009,cost,26.23840145753094,lower
random smooth control,random,random_010,cost,26.1096740524763,lower
random smooth control,random,random_011,cost,25.96735833978361,lower
random smooth control,random,random_012,cost,26.471664133001383,lower
random smooth control,random,random_013,cost,25.966292940688547,lower
random smooth control,random,random_014,cost,26.367884564754338,lower
random smooth control,random,random_015,cost,27.178911140510124,lower
random smooth control,random,random_016,cost,27.793392850771674,lower
random smooth control,random,random_017,cost,26.555370579635767,lower
random smooth control,random,random_018,cost,26.82053902109516,lower
random smooth control,random,random_019,cost,26.231028708794184,lower
random smooth control,random,random_020,cost,26.566905186330235,lower
random smooth control,random,random_021,cost,26.563270025566155,lower
random smooth control,random,random_022,cost,26.273909245699137,lower
random smooth control,random,random_023,cost,27.785701782214165,lower
random smooth control,random,random_024,cost,27.405727545429748,lower
random smooth control,random,random_025,cost,26.171753902814082,lower
random smooth control,random,random_026,cost,26.417155772724787,lower
random smooth control,random,random_027,cost,27.072942093990655,lower
random smooth control,random,random_028,cost,26.109096132418642,lower
random smooth control,random,random_029,cost,26.642736284476868,lower
random smooth control,random,random_030,cost,26.957488315607492,lower
random smooth control,random,random_031,cost,26.590412094180742,lower
random smooth control,random,random_032,cost,27.20763031118708,lower
random smooth control,random,random_033,cost,26.908260568355118,lower
random smooth control,random,random_034,cost,27.25269255841753,lower
random smooth control,random,random_035,cost,27.526362129545866,lower
random smooth control,random,random_036,cost,26.031645625199054,lower
random smooth control,random,random_037,cost,27.210267681077887,lower
random smooth control,random,random_038,cost,27.59686222479115,lower
random smooth control,random,random_039,cost,26.443370368041833,lower
random smooth control,random,random_040,cost,26.924341466452994,lower
random smooth control,random,random_041,cost,26.186174764381974,lower
random smooth control,random,random_042,cost,27.530736730742735,lower
random smooth control,random,random_043,cost,26.95881186268388,lower
random smooth control,random,random_044,cost,27.276114513998124,lower
random smooth control,random,random_045,cost,26.324580385985207,lower
random smooth control,random,random_046,cost,27.060101443186404,lower
random smooth control,random,random_047,cost,25.934065914134656,lower
random smooth control,random,random_048,cost,27.420735880510648,lower
random smooth control,random,random_049,cost,27.23651480117151,lower
random smooth control,random,random_050,cost,27.19673729171332,lower
random smooth control,random,random_051,cost,25.94386542492647,lower
random smooth control,random,random_052,cost,27.22807346928863,lower
random smooth control,random,random_053,cost,26.800147963380756,lower
random smooth control,random,random_054,cost,26.782175572083034,lower
random smooth control,random,random_055,cost,26.2113999466007,lower
random smooth control,random,random_056,cost,27.61790284871195,lower
random smooth control,random,random_057,cost,26.59071615562371,lower
random smooth control,random,random_058,cost,26.845718468449192,lower
random smooth control,random,random_059,cost,28.43660091795566,lower
random smooth control,random,random_060,cost,26.605607626071986,lower
random smooth control,random,random_061,cost,27.450372202926033,lower
random smooth control,random,random_062,cost,27.16909310665436,lower
random smooth control,random,random_063,cost,27.71235628116235,lower
random smooth control,random,random_064,cost,27.134120326763977,lower
random smooth control,random,random_065,cost,26.27333655003473,lower
random smooth control,random,random_066,cost,27.292263831367585,lower
random smooth control,random,random_067,cost,26.912448567612934,lower
random smooth control,random,random_068,cost,25.837894603022235,lower
random smooth control,random,random_069,cost,27.456660776274305,lower
random smooth control,random,random_070,cost,25.736635339207762,lower
random smooth control,random,random_071,cost,27.9952489167609,lower
random smooth control,random,random_072,cost,26.176357311767504,lower
random smooth control,random,random_073,cost,27.532435580954733,lower
random smooth control,random,random_074,cost,26.431563450658246,lower
random smooth control,random,random_075,cost,27.251266832424704,lower
