iteration,max_control_change,tolerance,below_tolerance,run_converged
1,0.42,0.0001,False,True
2,0.2730000000000001,0.0001,False,True
3,0.17745,0.0001,False,True
4,0.11534250000000001,0.0001,False,True
5,0.07824539055649204,0.0001,False,True
6,0.054102841745702235,0.0001,False,True
7,0.03701976605597024,0.0001,False,True
8,0.025164038805712607,0.0001,False,True
9,0.01702799380142106,0.0001,False,True
10,0.011477533006466922,0.0001,False,True
11,0.007729917973682943,0.0001,False,True
12,0.005192267822431984,0.0001,False,True
13,0.0034969465164425007,0.0001,False,True
14,0.002342690049109142,0.0001,False,True
15,0.0015835934305242771,0.0001,False,True
16,0.0010651788367579407,0.0001,False,True
17,0.000691026805465067,0.0001,False,True
18,0.00047643478187464616,0.0001,False,True
19,0.0003239335722454717,0.0001,False,True
20,0.00022636479398374654,0.0001,False,True
21,0.0001475873898464375,0.0001,False,True
22,0.00010095241927532417,0.0001,False,True
23,6.373037443951901e-05,0.0001,True,True
