scenario,sample_type,sample_id,metric,value,better
computed FBS control,computed,computed,cost,19.004028933164804,lower
no control,deterministic,no control,cost,30.226539021644015,lower
constant mean control,deterministic,constant mean control,cost,20.256733556761866,lower
random smooth control,random,random_001,cost,21.4500904287639,lower
random smooth control,random,random_002,cost,22.89874575854355,lower
random smooth control,random,random_003,cost,24.33828160011545,lower
random smooth control,random,random_004,cost,20.706202020999534,lower
random smooth control,random,random_005,cost,22.5454135620896,lower
random smooth control,random,random_006,cost,22.562176488944996,lower
random smooth control,random,random_007,cost,24.28316100895311,lower
random smooth control,random,random_008,cost,21.50799621720649,lower
random smooth control,random,random_009,cost,21.301838647819217,lower
random smooth control,random,random_010,cost,23.374510311698735,lower
random smooth control,random,random_011,cost,21.398946997945835,lower
random smooth control,random,random_012,cost,22.043175719688456,lower
random smooth control,random,random_013,cost,20.59681511913667,lower
random smooth control,random,random_014,cost,22.47618753581613,lower
random smooth control,random,random_015,cost,23.447706742913873,lower
random smooth control,random,random_016,cost,22.019937032837234,lower
random smooth control,random,random_017,cost,21.69806656201106,lower
random smooth control,random,random_018,cost,21.99946186049143,lower
random smooth control,random,random_019,cost,22.198426826743447,lower
random smooth control,random,random_020,cost,23.621878154638054,lower
random smooth control,random,random_021,cost,23.3350264239836,lower
random smooth control,random,random_022,cost,22.31484402507375,lower
random smooth control,random,random_023,cost,21.716865286054002,lower
random smooth control,random,random_024,cost,22.313962585100132,lower
random smooth control,random,random_025,cost,22.994143490046618,lower
random smooth control,random,random_026,cost,21.18068605084767,lower
random smooth control,random,random_027,cost,24.017091791836165,lower
random smooth control,random,random_028,cost,22.95464351654987,lower
random smooth control,random,random_029,cost,21.37760995553641,lower
random smooth control,random,random_030,cost,21.59764009531343,lower
random smooth control,random,random_031,cost,22.113212945250574,lower
random smooth control,random,random_032,cost,22.17780626840856,lower
random smooth control,random,random_033,cost,22.52492210712999,lower
random smooth control,random,random_034,cost,24.20338237468448,lower
random smooth control,random,random_035,cost,22.330032220945025,lower
random smooth control,random,random_036,cost,22.632996057097174,lower
random smooth control,random,random_037,cost,21.793052982088426,lower
random smooth control,random,random_038,cost,21.839660579127163,lower
random smooth control,random,random_039,cost,22.884463452039117,lower
random smooth control,random,random_040,cost,22.652385991767197,lower
random smooth control,random,random_041,cost,21.71590651816449,lower
random smooth control,random,random_042,cost,22.04367123361549,lower
random smooth control,random,random_043,cost,21.093523904342746,lower
random smooth control,random,random_044,cost,21.172231255007915,lower
random smooth control,random,random_045,cost,24.043248978774752,lower
random smooth control,random,random_046,cost,21.37031202748799,lower
random smooth control,random,random_047,cost,23.101431683463574,lower
random smooth control,random,random_048,cost,21.87621962214564,lower
random smooth control,random,random_049,cost,23.81655109698646,lower
random smooth control,random,random_050,cost,21.47046212727434,lower
random smooth control,random,random_051,cost,21.20677055711432,lower
random smooth control,random,random_052,cost,23.751026807521978,lower
random smooth control,random,random_053,cost,22.2897832054718,lower
random smooth control,random,random_054,cost,21.453597169429294,lower
random smooth control,random,random_055,cost,21.9394666605095,lower
random smooth control,random,random_056,cost,23.639298547171418,lower
random smooth control,random,random_057,cost,21.241932609805417,lower
random smooth control,random,random_058,cost,20.746677812037845,lower
random smooth control,random,random_059,cost,21.90847389784401,lower
random smooth control,random,random_060,cost,22.21144842564494,lower
random smooth control,random,random_061,cost,21.37373894230354,lower
random smooth control,random,random_062,cost,21.930355762118587,lower
random smooth control,random,random_063,cost,22.497872898785666,lower
random smooth control,random,random_064,cost,23.441001800923644,lower
random smooth control,random,random_065,cost,24.394132448109755,lower
random smooth control,random,random_066,cost,20.88843418818475,lower
random smooth control,random,random_067,cost,21.91493192401454,lower
random smooth control,random,random_068,cost,21.540904362660186,lower
random smooth control,random,random_069,cost,22.14130671760582,lower
random smooth control,random,random_070,cost,23.907522112988527,lower
random smooth control,random,random_071,cost,23.592478507303923,lower
random smooth control,random,random_072,cost,20.38724987852595,lower
random smooth control,random,random_073,cost,22.54774001253675,lower
random smooth control,random,random_074,cost,22.727107753448276,lower
random smooth control,random,random_075,cost,22.222337817884174,lower
