iteration,max_control_change,tolerance,below_tolerance,run_converged
1,0.42,0.0001,False,True
2,0.2730000000000001,0.0001,False,True
3,0.18359971750851378,0.0001,False,True
4,0.1238201867901434,0.0001,False,True
5,0.08044127569769421,0.0001,False,True
6,0.05101803599138355,0.0001,False,True
7,0.031913079757292406,0.0001,False,True
8,0.0198595372716448,0.0001,False,True
9,0.012638690965727672,0.0001,False,True
10,0.008067960211862513,0.0001,False,True
11,0.005166107480321536,0.0001,False,True
12,0.003296168701776958,0.0001,False,True
13,0.002119594438824368,0.0001,False,True
14,0.0013569911829649506,0.0001,False,True
15,0.0008704528276952672,0.0001,False,True
16,0.0005523268286538041,0.0001,False,True
17,0.00036900672529971423,0.0001,False,True
18,0.00023902165437061917,0.0001,False,True
19,0.00015115600859494371,0.0001,False,True
20,9.232489356558737e-05,0.0001,True,True
