scenario,sample_type,sample_id,metric,value,better
computed FBS control,computed,computed,cost,24.18677832416921,lower
no control,deterministic,no control,cost,31.64332772751495,lower
constant mean control,deterministic,constant mean control,cost,24.781488317804143,lower
random smooth control,random,random_001,cost,26.5000911207366,lower
random smooth control,random,random_002,cost,26.7225954137119,lower
random smooth control,random,random_003,cost,26.527235512412364,lower
random smooth control,random,random_004,cost,26.086374511406824,lower
random smooth control,random,random_005,cost,27.265429507793506,lower
random smooth control,random,random_006,cost,27.205436914030738,lower
random smooth control,random,random_007,cost,26.73329070495955,lower
random smooth control,random,random_008,cost,26.80008579592201,lower
random smooth control,random,random_009,cost,26.238401421838013,lower
random smooth control,random,random_010,cost,26.109674067991385,lower
random smooth control,random,random_011,cost,25.967358340714622,lower
random smooth control,random,random_012,cost,26.47166413444157,lower
random smooth control,random,random_013,cost,25.96629299704778,lower
random smooth control,random,random_014,cost,26.36788456597027,lower
random smooth control,random,random_015,cost,27.178911143192458,lower
random smooth control,random,random_016,cost,27.793392995763977,lower
random smooth control,random,random_017,cost,26.555370579638748,lower
random smooth control,random,random_018,cost,26.820539021095133,lower
random smooth control,random,random_019,cost,26.231028600439384,lower
random smooth control,random,random_020,cost,26.566903062317557,lower
random smooth control,random,random_021,cost,26.563270026759973,lower
random smooth control,random,random_022,cost,26.273909214508596,lower
random smooth control,random,random_023,cost,27.78569755035584,lower
random smooth control,random,random_024,cost,27.405727518623923,lower
random smooth control,random,random_025,cost,26.17175388754813,lower
random smooth control,random,random_026,cost,26.417155780386047,lower
random smooth control,random,random_027,cost,27.072942095041604,lower
random smooth control,random,random_028,cost,26.109096027262527,lower
random smooth control,random,random_029,cost,26.642732137726707,lower
random smooth control,random,random_030,cost,26.957488315598347,lower
random smooth control,random,random_031,cost,26.590412087101804,lower
random smooth control,random,random_032,cost,27.207630278396238,lower
random smooth control,random,random_033,cost,26.908260566437505,lower
random smooth control,random,random_034,cost,27.252692631492632,lower
random smooth control,random,random_035,cost,27.52635371950792,lower
random smooth control,random,random_036,cost,26.031645936809955,lower
random smooth control,random,random_037,cost,27.210267681019445,lower
random smooth control,random,random_038,cost,27.596862226312922,lower
random smooth control,random,random_039,cost,26.44337036814332,lower
random smooth control,random,random_040,cost,26.924341623064166,lower
random smooth control,random,random_041,cost,26.18617476492327,lower
random smooth control,random,random_042,cost,27.530736730139786,lower
random smooth control,random,random_043,cost,26.95881186287928,lower
random smooth control,random,random_044,cost,27.276114523524754,lower
random smooth control,random,random_045,cost,26.324580379943264,lower
random smooth control,random,random_046,cost,27.060101449102042,lower
random smooth control,random,random_047,cost,25.934065913894855,lower
random smooth control,random,random_048,cost,27.420735878414842,lower
random smooth control,random,random_049,cost,27.23651480140498,lower
random smooth control,random,random_050,cost,27.19673749777493,lower
random smooth control,random,random_051,cost,25.943865423988083,lower
random smooth control,random,random_052,cost,27.228073567577454,lower
random smooth control,random,random_053,cost,26.800147974032846,lower
random smooth control,random,random_054,cost,26.782175571632134,lower
random smooth control,random,random_055,cost,26.211399942682046,lower
random smooth control,random,random_056,cost,27.6179025078761,lower
random smooth control,random,random_057,cost,26.59071619512241,lower
random smooth control,random,random_058,cost,26.845718466384547,lower
random smooth control,random,random_059,cost,28.43660091795647,lower
random smooth control,random,random_060,cost,26.605607650721403,lower
random smooth control,random,random_061,cost,27.450371514864955,lower
random smooth control,random,random_062,cost,27.169093528267823,lower
random smooth control,random,random_063,cost,27.712356281312253,lower
random smooth control,random,random_064,cost,27.134118737620483,lower
random smooth control,random,random_065,cost,26.27333655004115,lower
random smooth control,random,random_066,cost,27.292263831419636,lower
random smooth control,random,random_067,cost,26.91244857197014,lower
random smooth control,random,random_068,cost,25.837894553393802,lower
random smooth control,random,random_069,cost,27.456660807726067,lower
random smooth control,random,random_070,cost,25.736635338205083,lower
random smooth control,random,random_071,cost,27.995245704784157,lower
random smooth control,random,random_072,cost,26.17635730964257,lower
random smooth control,random,random_073,cost,27.532435594347724,lower
random smooth control,random,random_074,cost,26.431563456375073,lower
random smooth control,random,random_075,cost,27.251267202405252,lower
