repo,panel,scenario,sample_type,sample_id,metric,value,better
OpinionMalware_TIFS_2025_Code,,computed impulse control,computed,computed,objective J,3.4356665299301694,model-defined
OpinionMalware_TIFS_2025_Code,,no impulse,deterministic,no_impulse,objective J,1.159326203020522,model-defined
OpinionMalware_TIFS_2025_Code,,random impulse control,random,random_001,objective J,15.421607083020671,model-defined
OpinionMalware_TIFS_2025_Code,,random impulse control,random,random_002,objective J,8.770223917082856,model-defined
OpinionMalware_TIFS_2025_Code,,random impulse control,random,random_003,objective J,15.233916733838434,model-defined
OpinionMalware_TIFS_2025_Code,,random impulse control,random,random_004,objective J,16.828148650464474,model-defined
OpinionMalware_TIFS_2025_Code,,random impulse control,random,random_005,objective J,17.23095996156422,model-defined
OpinionMalware_TIFS_2025_Code,,random impulse control,random,random_006,objective J,10.516924798829326,model-defined
OpinionMalware_TIFS_2025_Code,,random impulse control,random,random_007,objective J,13.642203223347252,model-defined
OpinionMalware_TIFS_2025_Code,,random impulse control,random,random_008,objective J,14.388452133344469,model-defined
OpinionMalware_TIFS_2025_Code,,random impulse control,random,random_009,objective J,13.00351554550536,model-defined
OpinionMalware_TIFS_2025_Code,,random impulse control,random,random_010,objective J,11.505551543491153,model-defined
OpinionMalware_TIFS_2025_Code,,random impulse control,random,random_011,objective J,14.0838376777013,model-defined
OpinionMalware_TIFS_2025_Code,,random impulse control,random,random_012,objective J,10.512504433671152,model-defined
OpinionMalware_TIFS_2025_Code,,random impulse control,random,random_013,objective J,11.996641889608831,model-defined
OpinionMalware_TIFS_2025_Code,,random impulse control,random,random_014,objective J,14.104292928241746,model-defined
OpinionMalware_TIFS_2025_Code,,random impulse control,random,random_015,objective J,11.377319373718448,model-defined
OpinionMalware_TIFS_2025_Code,,random impulse control,random,random_016,objective J,12.622432348705066,model-defined
OpinionMalware_TIFS_2025_Code,,random impulse control,random,random_017,objective J,9.378533042035249,model-defined
OpinionMalware_TIFS_2025_Code,,random impulse control,random,random_018,objective J,15.725669121628476,model-defined
OpinionMalware_TIFS_2025_Code,,random impulse control,random,random_019,objective J,13.285415286958987,model-defined
OpinionMalware_TIFS_2025_Code,,random impulse control,random,random_020,objective J,5.057158296917761,model-defined
OpinionMalware_TIFS_2025_Code,,random impulse control,random,random_021,objective J,9.85773792643475,model-defined
OpinionMalware_TIFS_2025_Code,,random impulse control,random,random_022,objective J,13.475815987477857,model-defined
OpinionMalware_TIFS_2025_Code,,random impulse control,random,random_023,objective J,9.597764955048884,model-defined
OpinionMalware_TIFS_2025_Code,,random impulse control,random,random_024,objective J,14.974835903696594,model-defined
OpinionMalware_TIFS_2025_Code,,random impulse control,random,random_025,objective J,11.051676432457178,model-defined
OpinionMalware_TIFS_2025_Code,,random impulse control,random,random_026,objective J,6.151088797612335,model-defined
OpinionMalware_TIFS_2025_Code,,random impulse control,random,random_027,objective J,15.287110135236919,model-defined
OpinionMalware_TIFS_2025_Code,,random impulse control,random,random_028,objective J,10.639126116474479,model-defined
OpinionMalware_TIFS_2025_Code,,random impulse control,random,random_029,objective J,17.290329593367215,model-defined
OpinionMalware_TIFS_2025_Code,,random impulse control,random,random_030,objective J,14.308363211384643,model-defined
OpinionMalware_TIFS_2025_Code,,random impulse control,random,random_031,objective J,9.801163564351405,model-defined
OpinionMalware_TIFS_2025_Code,,random impulse control,random,random_032,objective J,11.055415916262993,model-defined
OpinionMalware_TIFS_2025_Code,,random impulse control,random,random_033,objective J,9.999595928084423,model-defined
OpinionMalware_TIFS_2025_Code,,random impulse control,random,random_034,objective J,12.24510960073702,model-defined
OpinionMalware_TIFS_2025_Code,,random impulse control,random,random_035,objective J,5.48417878561313,model-defined
OpinionMalware_TIFS_2025_Code,,random impulse control,random,random_036,objective J,13.626604328095938,model-defined
OpinionMalware_TIFS_2025_Code,,random impulse control,random,random_037,objective J,14.436277484012848,model-defined
OpinionMalware_TIFS_2025_Code,,random impulse control,random,random_038,objective J,14.893176182946027,model-defined
