repo,iteration,metric,value
OpinionMalware_TIFS_2025_Code,1,payoff_change,2.276014233108576
OpinionMalware_TIFS_2025_Code,2,payoff_change,0.0003258573332258763
OpinionMalware_TIFS_2025_Code,3,payoff_change,2.3637128432341115e-07
OpinionMalware_TIFS_2025_Code,4,payoff_change,9.653700061562631e-11
OpinionMalware_TIFS_2025_Code,5,payoff_change,2.398081733190338e-14
PropagandaWar_TIFS_2024_Code,1,red_payoff_change,11.031502364444075
PropagandaWar_TIFS_2024_Code,2,red_payoff_change,1.2465230726691345
PropagandaWar_TIFS_2024_Code,3,red_payoff_change,0.5083311423798804
PropagandaWar_TIFS_2024_Code,4,red_payoff_change,0.2253067373603983
PropagandaWar_TIFS_2024_Code,5,red_payoff_change,0.08044947280276915
PropagandaWar_TIFS_2024_Code,6,red_payoff_change,0.07109625182232193
PropagandaWar_TIFS_2024_Code,7,red_payoff_change,0.06859486518393965
PropagandaWar_TIFS_2024_Code,8,red_payoff_change,0.004904178423316807
PropagandaWar_TIFS_2024_Code,9,red_payoff_change,0.03636026586614349
PropagandaWar_TIFS_2024_Code,10,red_payoff_change,0.013061562798053927
PropagandaWar_TIFS_2024_Code,11,red_payoff_change,0.015182478614747197
PropagandaWar_TIFS_2024_Code,12,red_payoff_change,0.01270884305288078
PropagandaWar_TIFS_2024_Code,13,red_payoff_change,0.010860178308540469
PropagandaWar_TIFS_2024_Code,14,red_payoff_change,0.009311073906744127
PropagandaWar_TIFS_2024_Code,15,red_payoff_change,0.007816393752499096
PropagandaWar_TIFS_2024_Code,16,red_payoff_change,0.006710481805892954
PropagandaWar_TIFS_2024_Code,17,red_payoff_change,0.005758310635826547
PropagandaWar_TIFS_2024_Code,18,red_payoff_change,0.004838966061601724
PropagandaWar_TIFS_2024_Code,19,red_payoff_change,0.004142726751247494
PropagandaWar_TIFS_2024_Code,20,red_payoff_change,0.0035425414847800596
PropagandaWar_TIFS_2024_Code,21,red_payoff_change,0.0029430758720181416
PropagandaWar_TIFS_2024_Code,22,red_payoff_change,0.0024250674483674572
PropagandaWar_TIFS_2024_Code,23,red_payoff_change,0.0019829445076950947
PropagandaWar_TIFS_2024_Code,24,red_payoff_change,0.001555553800809406
PropagandaWar_TIFS_2024_Code,25,red_payoff_change,0.0013260636358651823
PropagandaWar_TIFS_2024_Code,26,red_payoff_change,0.0011236784212975692
PropagandaWar_TIFS_2024_Code,27,red_payoff_change,0.0009571461725990105
PropagandaWar_TIFS_2024_Code,28,red_payoff_change,0.0008150323478872679
PropagandaWar_TIFS_2024_Code,29,red_payoff_change,0.0006938303758303732
PropagandaWar_TIFS_2024_Code,30,red_payoff_change,0.0005905161660599845
PropagandaWar_TIFS_2024_Code,31,red_payoff_change,0.000502487874928903
PropagandaWar_TIFS_2024_Code,32,red_payoff_change,0.00042751131200802206
PropagandaWar_TIFS_2024_Code,33,red_payoff_change,0.00036367109268198305
PropagandaWar_TIFS_2024_Code,34,red_payoff_change,0.00030932736069644307
PropagandaWar_TIFS_2024_Code,35,red_payoff_change,0.0002630777356706915
PropagandaWar_TIFS_2024_Code,36,red_payoff_change,0.00022372405617332447
PropagandaWar_TIFS_2024_Code,37,red_payoff_change,0.0001902434530620667
PropagandaWar_TIFS_2024_Code,38,red_payoff_change,0.0001549667676741251
PropagandaWar_TIFS_2024_Code,39,red_payoff_change,0.0001317262713769196
PropagandaWar_TIFS_2024_Code,40,red_payoff_change,0.00011197036076993072
PropagandaWar_TIFS_2024_Code,41,red_payoff_change,9.517685014159838e-05
PropagandaWar_TIFS_2024_Code,42,red_payoff_change,8.090170872421254e-05
PropagandaWar_TIFS_2024_Code,43,red_payoff_change,6.876739794847708e-05
PropagandaWar_TIFS_2024_Code,44,red_payoff_change,5.8452936837483094e-05
PropagandaWar_TIFS_2024_Code,45,red_payoff_change,4.968544356387383e-05
PropagandaWar_TIFS_2024_Code,46,red_payoff_change,4.223293699823216e-05
PropagandaWar_TIFS_2024_Code,47,red_payoff_change,3.589821225702394e-05
PropagandaWar_TIFS_2024_Code,48,red_payoff_change,3.05136313585308e-05
PropagandaWar_TIFS_2024_Code,49,red_payoff_change,2.5936692612305023e-05
PropagandaWar_TIFS_2024_Code,50,red_payoff_change,2.2046263378427966e-05
PropagandaWar_TIFS_2024_Code,51,red_payoff_change,1.873937662821845e-05
PropagandaWar_TIFS_2024_Code,52,red_payoff_change,1.592850755116615e-05
PropagandaWar_TIFS_2024_Code,53,red_payoff_change,1.3539258006289856e-05
